namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	eu_14_votersreg	eu_14_votersvalid	eu_14_nevolici	eu_14_other	eu_14_nova	eu_14_kdh	eu_14_smer	eu_14_most	eu_14_ol	eu_14_sas	eu_14_sdku	eu_14_smk
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	27	1142	317	825	150	167	323	86	1056	13	4	0	25	0	16	12	16	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	28	819	193	626	83	110	815	147	672	23	10	11	43	2	26	11	21	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	29	631	141	673	61	80	814	115	699	26	15	5	28	1	14	15	10	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	30	590	196	438	84	112	634	88	546	25	2	7	21	4	16	6	7	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	31	494	179	422	76	103	601	107	494	26	6	2	24	1	14	17	15	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	32	217	90	393	42	48	483	115	368	29	5	0	25	1	25	16	14	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	33	805	190	615	63	127	211	74	731	14	7	6	29	0	1	5	12	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	34	791	240	551	96	144	787	88	703	20	7	2	14	0	16	17	11	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	35	689	201	598	67	134	799	124	675	27	10	14	30	0	17	11	15	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	36	973	292	681	124	168	668	98	875	27	0	9	32	1	17	6	6	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	37	863	229	721	94	135	950	176	774	44	5	20	43	0	36	17	11	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	38	1147	346	801	160	186	843	146	1001	26	11	12	38	1	21	20	17	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	39	1079	332	778	132	200	1110	227	883	43	16	21	69	3	38	21	16	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	40	1150	373	777	155	218	1047	168	982	35	9	12	49	9	18	11	25	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	41	978	295	832	138	157	1127	198	929	35	24	12	45	5	29	24	24	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	42	909	291	663	118	173	954	146	808	25	15	13	39	0	27	14	12	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	43	978	291	687	137	154	889	146	832	24	6	14	39	4	28	12	19	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	44	1057	311	746	151	160	970	173	884	34	11	9	52	3	26	17	21	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	45	901	269	754	125	144	1023	168	855	34	6	14	52	6	22	10	24	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	46	840	255	656	102	153	911	177	734	36	13	17	39	0	31	19	22	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	47	801	206	627	102	104	833	135	698	35	6	9	48	3	17	10	7	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	48	989	295	694	111	184	780	144	845	28	12	9	36	3	22	9	25	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	49	940	261	706	120	141	967	168	799	42	10	5	54	4	22	16	15	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	50	996	239	757	95	144	922	126	870	24	8	12	36	2	29	3	12	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	51	1108	356	752	196	160	965	124	984	19	5	9	55	1	16	6	13	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	52	664	173	912	89	84	1085	258	827	53	14	29	70	2	41	19	30	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	53	1021	283	738	117	166	650	104	917	26	5	3	35	1	16	6	12	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	54	1039	352	687	174	178	982	146	893	41	6	11	42	1	19	8	18	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	55	1005	308	715	137	171	1023	219	804	42	12	17	84	4	20	18	22	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	56	784	224	750	112	112	974	213	761	42	8	19	68	5	41	14	16	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	57	745	227	548	104	123	775	153	622	29	11	11	40	2	32	8	20	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	58	620	193	546	65	128	739	117	622	32	9	10	31	3	14	10	8	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	59	723	266	457	92	174	610	90	633	21	4	1	20	1	12	9	22	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	60	756	171	585	65	106	724	130	626	23	4	2	43	4	26	14	14	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	61	777	231	546	100	131	743	108	669	29	3	9	22	1	19	8	17	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	62	763	181	587	87	94	768	127	641	17	12	8	31	6	19	13	20	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	63	751	174	584	51	123	758	100	658	10	8	8	36	2	16	7	13	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	64	953	294	659	97	197	744	76	877	17	1	7	18	2	18	9	4	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	65	984	249	735	71	178	936	145	839	35	12	19	22	4	26	13	14	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	66	668	178	796	64	114	974	91	883	21	8	7	20	1	8	11	15	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	67	942	278	664	79	199	643	79	863	13	4	3	18	0	26	9	6	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	68	1062	324	738	96	228	928	99	963	22	5	5	20	0	21	13	13	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	69	925	278	757	87	191	1035	114	921	40	3	8	19	0	22	16	6	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	70	1046	285	761	69	216	883	113	933	26	11	17	24	0	13	15	7	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	71	882	236	784	78	158	1020	120	900	34	8	9	18	1	23	12	15	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	72	798	222	640	71	151	862	105	757	25	10	14	19	5	10	11	11	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	73	817	200	617	55	145	798	122	695	28	14	22	16	1	22	10	9	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	74	988	267	721	79	188	812	78	910	18	4	4	19	1	16	8	8	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	75	1063	330	733	116	214	982	113	950	43	4	13	20	0	12	8	13	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	76	886	261	749	81	180	1010	130	880	34	11	8	26	3	20	14	14	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	77	1058	282	776	79	203	863	98	960	25	9	14	14	1	11	12	12	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	78	943	308	729	85	223	1037	107	930	38	7	4	21	1	9	16	11	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	79	692	190	729	52	138	919	111	808	30	9	11	19	2	9	19	12	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	1	916	143	805	73	70	948	174	774	15	23	24	34	4	29	13	31	1
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	2	697	172	525	112	60	670	122	575	24	2	16	42	2	8	4	24	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	3	1045	216	829	128	88	1032	121	924	19	6	12	43	0	19	5	17	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	4	817	230	587	135	95	790	129	688	34	0	14	42	1	10	3	25	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	5	681	183	498	114	69	665	101	580	17	6	5	38	4	8	4	19	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	6	1002	237	765	113	124	979	110	892	15	5	7	48	2	8	8	17	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	7	834	193	641	106	87	807	73	761	10	0	17	21	2	10	2	11	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	8	942	224	718	104	120	941	101	841	25	4	7	33	0	14	3	15	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	9	759	171	615	81	90	786	77	709	21	8	13	21	0	6	4	4	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	10	620	131	489	58	73	616	72	548	21	4	4	8	0	14	2	19	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516651	Banskı Studenec	1	359	85	285	39	46	370	28	342	11	3	2	8	0	0	3	1	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514501	Barca	1	313	28	293	27	1	321	33	288	4	1	0	1	3	11	0	0	13
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516660	Bartošova Lehôtka	1	328	123	205	38	85	323	66	262	24	4	6	23	0	4	4	1	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514519	Bátka	1	733	104	629	51	53	724	81	652	9	0	2	5	34	0	0	0	31
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515876	Bátorová	1	305	24	281	18	6	304	33	272	5	1	0	16	2	0	1	1	7
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514535	Belín	1	140	51	89	34	17	139	21	119	5	0	0	10	3	2	0	1	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511234	Belina	1	501	54	447	43	11	495	54	447	3	0	2	1	5	0	0	0	43
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516678	Beluj	1	106	22	86	12	10	108	29	79	13	3	1	5	1	2	1	3	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508462	Beòuš	1	982	267	727	83	184	994	73	921	32	8	0	16	1	7	5	4	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557315	Biskupice	1	913	113	800	66	47	897	114	799	7	4	0	2	29	1	0	0	71
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514543	Blhovce	1	619	79	540	54	25	614	100	519	10	2	0	4	39	1	1	0	43
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	1	224	37	189	15	22	226	29	197	7	0	4	5	4	0	2	1	6
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	2	311	73	238	39	34	310	33	278	6	4	1	21	0	0	1	0	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514551	Bottovo	1	168	55	113	26	29	164	36	132	4	1	2	22	2	0	1	3	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508489	Braväcovo	1	570	160	415	61	99	575	49	526	16	2	1	19	0	0	4	7	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	581607	Brehy	1	893	174	719	83	91	888	101	792	25	6	11	39	0	11	4	5	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518191	Breziny	1	287	110	177	70	40	286	67	220	10	0	1	55	0	0	1	0	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511269	Breznièka	1	638	147	495	71	76	642	69	573	14	2	11	36	0	4	0	2	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	1	906	234	672	72	162	884	96	810	27	5	5	37	1	9	6	5	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	2	1060	142	918	43	99	1057	58	1002	14	1	4	29	1	2	3	4	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	3	877	265	612	81	184	863	127	750	31	11	2	52	0	5	9	15	2
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	4	955	282	673	68	214	949	130	825	33	12	10	26	0	13	16	20	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	5	849	233	616	109	124	840	137	712	21	10	11	62	0	12	5	16	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	6	638	190	448	47	143	619	90	548	16	4	7	36	2	5	6	14	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	7	904	259	648	89	170	907	111	796	26	4	5	50	0	11	8	7	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	8	858	251	607	72	179	843	121	737	34	7	7	42	2	10	6	13	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	9	927	279	648	98	181	922	149	778	39	4	9	60	2	15	6	14	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	10	732	269	463	110	159	713	148	584	33	7	9	54	2	10	10	23	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	11	605	176	429	67	109	587	78	527	23	3	7	23	0	7	6	9	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	12	725	206	519	44	162	715	93	632	19	8	5	36	0	11	10	4	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	13	743	235	508	89	146	741	123	620	38	3	4	60	2	5	5	6	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	14	854	209	654	46	163	863	70	793	22	4	5	20	0	8	5	6	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	15	1033	310	729	52	258	1039	79	960	30	2	7	11	0	13	9	7	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	16	1041	349	692	55	294	1033	92	949	19	6	6	17	0	16	12	16	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	17	1014	323	695	49	274	1018	95	923	26	11	7	21	0	15	9	6	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	18	1008	260	748	41	219	988	76	932	18	4	8	12	0	18	8	8	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	19	640	123	518	24	99	641	43	598	12	7	3	13	0	1	4	3	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	20	846	145	704	30	115	849	48	801	21	0	6	13	1	3	3	1	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	21	221	60	161	9	51	218	30	191	12	0	9	4	0	0	2	2	1
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515884	Brusník	1	88	20	73	12	8	93	11	82	4	0	0	7	0	0	0	0	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	1	816	184	637	52	132	821	115	706	31	6	19	33	0	10	2	14	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	2	949	212	762	79	133	974	128	846	35	4	25	37	0	20	3	4	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518204	Budèa	1	1049	288	761	149	139	1040	141	908	20	4	22	56	2	13	10	14	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514586	Budikovany	1	41	8	37	8	0	45	13	32	7	0	1	2	2	1	0	0	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511277	Budiná	1	215	132	86	77	55	218	63	155	18	3	1	39	2	0	0	0	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	558273	Bulhary	1	227	83	144	78	5	225	58	169	18	1	1	1	10	0	0	0	27
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515892	Bušince	1	1157	145	1012	59	86	1120	95	1062	17	4	2	18	24	3	1	7	19
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511293	Buzitka	1	433	137	296	63	74	431	64	369	21	3	0	23	1	4	2	7	3
Banskobystrickı kraj	602	Brezno	603	Brezno	557251	Bystrá	1	176	68	131	24	44	199	63	136	17	9	9	16	1	5	1	5	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516708	Bzenica	1	481	119	367	43	76	486	77	409	27	4	3	26	0	7	4	6	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518212	Bzovík	1	829	213	616	59	154	829	109	720	35	0	31	26	1	9	2	5	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518221	Bzovská Lehôtka	1	109	37	72	31	6	109	22	87	5	0	8	7	0	0	2	0	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514594	Cakov	1	211	41	170	38	3	210	38	173	3	0	0	0	8	20	0	0	7
Banskobystrickı kraj	606	Zvolen	605	Krupina	518239	Cerovo	1	466	134	332	72	62	449	95	371	42	1	6	41	0	2	2	1	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	1	1157	233	924	104	129	1134	122	1035	39	6	12	46	0	7	2	10	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	2	494	82	415	43	39	497	41	456	14	1	5	16	0	2	1	2	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	3	168	22	150	11	11	172	18	154	4	2	0	11	0	0	1	0	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518247	Èabradskı Vrbovok	1	203	48	157	21	27	205	21	184	10	0	1	9	0	0	0	1	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511323	Èakanovce	1	773	95	678	77	18	770	153	620	20	6	1	2	25	0	2	1	96
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511331	Èamovce	1	413	63	357	55	8	420	99	321	7	3	1	4	24	6	0	2	52
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515906	Èebovce	1	925	92	833	57	35	857	114	811	15	4	4	6	9	4	2	1	69
Banskobystrickı kraj	606	Zvolen	605	Krupina	518255	Èekovce	1	345	56	296	22	34	352	46	306	9	2	15	11	0	8	0	1	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515914	Èeláre	1	325	51	274	24	27	321	61	264	14	1	9	5	17	0	1	0	14
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515922	Èelovce	1	315	68	253	44	24	321	24	297	5	6	0	10	1	0	0	0	2
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514608	Èerenèany	1	462	129	333	63	66	453	71	391	22	4	1	27	6	0	3	7	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	1	258	84	175	37	47	259	46	213	11	4	1	22	0	6	0	2	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	2	129	49	80	28	21	127	33	96	7	0	2	13	0	2	4	5	0
