namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	pr2_14_votersreg	pr2_14_votersvalid	pr2_14_nevolici	pr2_14_fico	pr2_14_kiska	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	3	883	260	623	24	79	99	58	838	478	405	216	262	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	4	961	284	677	28	95	89	72	946	495	466	173	322	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	5	853	249	604	29	59	121	40	826	441	412	232	209	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	6	645	169	476	12	62	60	35	620	312	333	144	168	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	7	905	226	685	18	64	116	28	911	490	421	235	255	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	8	866	220	646	19	68	80	53	831	450	416	215	235	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	9	928	235	693	44	78	92	21	887	427	501	222	205	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	10	734	233	501	39	46	111	37	710	423	311	195	228	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	11	612	166	446	18	49	74	25	587	318	294	160	158	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	12	728	152	576	17	50	59	26	706	351	377	158	193	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	13	745	219	526	24	52	99	44	737	368	377	171	197	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	14	854	225	629	51	74	78	22	848	352	502	144	208	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	15	1041	234	807	21	105	74	34	1022	500	541	175	325	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	16	1039	252	787	25	124	69	34	1018	459	580	126	333	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	17	1020	259	761	26	129	71	33	994	476	544	133	343	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	18	1012	221	791	29	118	49	25	970	379	633	137	242	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	19	645	85	560	11	30	25	19	622	275	370	111	164	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	20	845	160	685	34	61	40	25	842	199	646	87	112	
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	21	221	69	152	14	16	26	13	219	103	118	33	70	
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515884	Brusník	1	87	16	84	1	2	12	1	100	57	43	40	17	
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	1	817	142	736	23	44	51	24	878	516	362	260	256	
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	2	948	173	802	33	48	72	20	975	485	490	253	232	
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518204	Budèa	1	1052	242	810	44	27	136	35	1028	508	544	219	289	
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514586	Budikovany	1	41	11	39	0	1	10	0	50	34	16	28	6	
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511277	Budiná	1	215	93	132	13	20	59	1	225	128	97	96	32	
Banskobystrickı kraj	603	Luèenec	606	Luèenec	558273	Bulhary	1	227	92	135	7	5	71	9	225	108	119	5	103	
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515892	Bušince	1	1154	180	974	23	32	85	40	1111	385	769	153	232	
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511293	Buzitka	1	432	121	311	9	24	77	11	429	233	199	127	106	
Banskobystrickı kraj	602	Brezno	603	Brezno	557251	Bystrá	1	176	67	294	11	17	26	13	361	295	66	89	206	
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516708	Bzenica	1	487	108	381	10	40	56	2	489	256	233	149	107	
Banskobystrickı kraj	606	Zvolen	605	Krupina	518212	Bzovík	1	828	205	623	49	60	78	18	817	366	462	180	186	
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518221	Bzovská Lehôtka	1	109	37	77	2	1	32	2	114	61	53	38	23	
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514594	Cakov	1	211	66	145	10	1	52	3	208	41	170	25	16	
Banskobystrickı kraj	606	Zvolen	605	Krupina	518239	Cerovo	1	468	148	320	37	19	89	3	445	215	253	146	69	
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	1	1159	226	933	64	53	93	16	1133	463	696	260	203	
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	2	495	93	402	30	8	47	8	484	186	309	157	29	
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	3	167	21	147	5	3	12	1	168	76	92	52	24	
Banskobystrickı kraj	606	Zvolen	605	Krupina	518247	Èabradskı Vrbovok	1	203	49	160	7	14	22	6	209	117	92	50	67	
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511323	Èakanovce	1	774	188	586	28	17	91	52	766	299	475	22	277	
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511331	Èamovce	1	413	92	326	24	8	42	18	418	208	210	27	181	
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515906	Èebovce	1	925	128	797	5	9	70	44	845	384	541	46	338	
Banskobystrickı kraj	606	Zvolen	605	Krupina	518255	Èekovce	1	345	69	283	16	6	40	7	352	148	204	77	71	
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515914	Èeláre	1	326	57	269	6	6	21	24	320	142	184	35	107	
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515922	Èelovce	1	315	45	276	10	10	24	1	321	125	196	106	19	
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514608	Èerenèany	1	463	114	349	5	23	76	10	446	237	226	122	115	
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	1	258	79	182	12	19	32	16	261	148	113	76	72	
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	2	129	42	89	4	10	25	3	131	89	42	58	31	
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515931	Èerveòany	1	20	9	22	0	2	7	0	31	25	6	16	9	
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	1	359	97	263	15	33	42	7	360	190	170	110	80	
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	2	56	10	59	2	3	4	1	69	47	22	31	16	
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	1	853	182	671	21	62	76	23	844	324	529	122	202	
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	2	1191	218	973	14	82	106	16	1184	558	633	314	244	
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	3	1196	281	915	33	109	112	27	1193	529	667	228	301	
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	4	895	181	714	12	95	59	15	893	502	393	244	258	
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514616	Èierny Potok	1	132	40	101	4	14	21	1	141	77	64	63	14	
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514624	Èí	1	524	114	429	12	11	76	15	543	183	360	41	142	
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515949	Daèov Lom	1	340	53	287	7	8	33	5	336	162	178	104	58	
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516716	Dekıš	1	176	67	114	14	9	28	16	181	108	73	56	52	
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	1	480	96	384	7	19	58	12	480	216	264	130	86	
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	2	466	126	341	4	33	80	9	467	191	276	114	77	
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	3	612	173	455	9	34	129	1	628	275	353	157	118	
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	4	389	92	300	12	20	56	4	392	180	212	92	88	
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	5	1172	384	788	68	81	212	23	1168	543	629	313	230	
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	6	1238	440	799	32	82	296	30	1239	647	592	407	240	
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	7	877	254	623	23	88	113	30	820	409	468	176	233	
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	8	1018	337	681	28	60	204	45	979	540	478	256	284	
