namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	vuc2_09_votersreg	vuc2_09_votersvalid	vuc2_09_nevolici	vuc2_09_manka	vuc2_09_mikus
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	49	941	236	705	31	52	116	37	374	136	805	55	81
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	50	998	203	795	24	41	101	37	750	186	812	105	81
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	51	1108	358	750	54	56	184	64	772	167	941	58	109
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	52	664	149	515	24	25	75	25	292	49	615	21	28
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	53	1022	254	808	31	72	94	57	1 062	300	762	121	179
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	54	1038	330	708	35	62	171	62	844	226	812	103	123
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	55	1002	292	710	48	63	123	58	950	235	767	94	141
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	56	788	207	693	16	50	96	45	900	232	668	70	162
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	57	745	187	558	20	36	88	43	659	120	625	33	87
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	58	621	150	1077	19	43	56	32	1 227	313	914	135	178
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	59	723	222	619	25	81	74	42	841	172	669	67	105
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	60	755	183	572	26	49	60	48	723	180	575	72	108
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	61	776	199	766	30	36	80	53	965	214	751	107	107
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	62	763	177	586	31	28	82	36	412	100	663	36	64
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	63	751	139	662	23	50	38	28	801	151	650	59	92
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	64	955	239	716	30	73	95	41	813	197	758	86	111
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	65	986	199	787	16	58	80	45	807	185	801	88	97
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	66	666	134	813	18	43	53	20	947	199	748	85	114
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	67	940	176	859	24	61	63	28	1 035	177	858	71	106
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	68	1065	243	891	35	93	82	33	1 134	187	947	40	147
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	69	922	248	781	28	66	108	46	1 029	232	797	97	135
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	70	1048	217	858	42	69	64	42	1 075	171	904	59	112
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	71	881	191	690	25	51	67	48	705	140	741	50	90
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	72	799	192	828	32	58	65	37	1 020	162	858	62	100
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	73	820	151	982	25	43	49	34	1 133	207	926	59	148
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	74	987	232	755	49	73	77	33	879	210	777	68	142
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	75	1064	231	879	32	78	78	43	1 110	232	878	66	166
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	76	887	194	952	37	63	71	23	1 146	210	936	74	136
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	77	1058	207	923	22	70	70	45	1 130	206	924	63	143
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	78	945	215	917	22	70	68	55	1 132	199	933	58	141
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	79	691	150	1103	20	61	34	35	1 253	187	1066	62	125
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	1	914	195	719	14	19	66	96	891	162	752	60	102
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	2	698	213	532	30	15	107	61	745	141	604	72	69
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	3	1045	249	824	49	36	104	60	1 073	169	904	88	81
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	4	817	251	577	23	28	143	57	828	204	624	122	82
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	5	677	183	510	13	24	101	45	693	113	580	67	46
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	6	1000	232	807	37	30	115	50	1 039	172	867	90	82
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	7	835	220	651	24	27	109	60	871	120	751	48	72
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	8	942	221	721	28	42	111	40	886	125	817	58	67
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	9	762	175	587	22	32	72	49	751	138	624	81	57
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	10	621	146	475	19	27	54	46	613	84	537	34	50
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516651	Banskı Studenec	1	358	69	295	8	23	18	20	364	49	315	32	17
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514501	Barca	1	313	94	219	42	1	48	3	293	25	288	14	11
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516660	Bartošova Lehôtka	1	328	98	238	24	13	50	11	336	48	288	36	12
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514519	Bátka	1	734	156	578	48	22	52	34	726	55	679	26	29
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515876	Bátorová	1	305	39	266	5	2	25	7	302	56	249	43	13
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514535	Belín	1	142	53	89	17	10	23	3	136	25	117	16	9
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511234	Belina	1	501	122	379	29	6	66	21	479	125	376	19	106
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516678	Beluj	1	106	33	79	4	8	17	4	112	33	79	16	17
Banskobystrickı kraj	602	Brezno	603	Brezno	508462	Beòuš	1	983	226	757	21	69	112	24	978	135	848	57	78
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557315	Biskupice	1	917	196	731	31	19	108	38	927	68	859	26	42
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514543	Blhovce	1	619	140	479	57	7	44	32	609	47	572	18	29
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	1	225	27	209	6	1	15	5	236	40	196	24	16
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	2	311	64	247	10	8	44	2	308	61	250	43	18
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514551	Bottovo	1	168	53	118	6	10	32	5	171	67	104	39	28
Banskobystrickı kraj	602	Brezno	603	Brezno	508489	Braväcovo	1	569	168	410	17	44	84	23	578	71	507	42	29
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	581607	Brehy	1	895	186	722	22	22	110	32	908	173	735	118	55
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518191	Breziny	1	287	83	204	6	13	64	0	278	82	205	76	6
Banskobystrickı kraj	603	Luèenec	607	Poltár	511269	Breznièka	1	637	148	489	17	36	86	9	633	86	551	69	17
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	1	905	228	691	26	72	85	45	919	137	782	68	69
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	2	1073	122	951	15	42	42	23	792	80	993	49	31
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	3	883	260	673	24	79	99	58	933	173	760	93	80
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	4	961	284	721	28	95	89	72	1 005	185	820	67	118
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	5	853	249	655	29	59	121	40	904	176	728	102	74
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	6	645	169	547	12	62	60	35	716	120	596	67	53
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	7	905	226	748	18	64	116	28	974	171	803	101	70
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	8	866	220	712	19	68	80	53	932	180	752	93	87
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	9	928	235	713	44	78	92	21	948	172	776	91	81
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	10	734	233	542	39	46	111	37	775	211	564	114	97
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	11	612	166	497	18	49	74	25	663	106	557	57	49
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	12	728	152	633	17	50	59	26	785	97	688	49	48
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	13	745	219	563	24	52	99	44	782	156	626	88	68
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	14	854	225	629	51	74	78	22	818	79	775	34	45
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	15	1041	234	807	21	105	74	34	1 041	115	926	43	72
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	16	1039	252	847	25	124	69	34	1 099	119	980	44	75
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	17	1020	259	761	26	129	71	33	999	129	891	46	83
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	18	1012	221	816	29	118	49	25	1 037	79	958	38	41
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	19	645	85	560	11	30	25	19	645	42	603	23	19
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	20	845	160	687	34	61	40	25	847	60	787	30	30
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	21	221	69	162	14	16	26	13	231	30	201	10	20
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515884	Brusník	1	87	16	71	1	2	12	1	80	38	49	35	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	1	817	142	682	23	44	51	24	824	156	668	71	85
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	2	948	173	779	33	48	72	20	952	147	805	77	70
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518204	Budèa	1	1052	242	810	44	27	136	35	1 026	297	755	166	131
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514586	Budikovany	1	41	11	30	0	1	10	0	38	13	28	13	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511277	Budiná	1	215	93	125	13	20	59	1	218	67	151	58	9
Banskobystrickı kraj	603	Luèenec	606	Luèenec	558273	Bulhary	1	227	92	135	7	5	71	9	215	71	156	12	59
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515892	Bušince	1	1154	180	974	23	32	85	40	1 118	187	967	56	131
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511293	Buzitka	1	432	121	314	9	24	77	11	435	56	379	30	26
Banskobystrickı kraj	602	Brezno	603	Brezno	557251	Bystrá	1	176	67	109	11	17	26	13	175	37	139	20	17
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516708	Bzenica	1	487	108	379	10	40	56	2	447	57	430	48	9
Banskobystrickı kraj	606	Zvolen	605	Krupina	518212	Bzovík	1	828	205	623	49	60	78	18	790	141	687	69	72
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518221	Bzovská Lehôtka	1	109	37	72	2	1	32	2	103	63	46	36	27
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514594	Cakov	1	211	66	145	10	1	52	3	194	27	184	26	1
Banskobystrickı kraj	606	Zvolen	605	Krupina	518239	Cerovo	1	468	148	320	37	19	89	3	403	118	350	99	19
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	1	1159	226	949	64	53	93	16	1 175	185	990	132	53
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	2	495	93	419	30	8	47	8	512	83	429	58	25
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	3	167	21	151	5	3	12	1	172	22	150	15	7
Banskobystrickı kraj	606	Zvolen	605	Krupina	518247	Èabradskı Vrbovok	1	203	49	158	7	14	22	6	207	30	177	19	11
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511323	Èakanovce	1	774	188	586	28	17	91	52	754	91	683	21	70
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511331	Èamovce	1	413	92	321	24	8	42	18	401	69	344	10	59
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515906	Èebovce	1	925	128	797	5	9	70	44	858	100	825	67	33
Banskobystrickı kraj	606	Zvolen	605	Krupina	518255	Èekovce	1	345	69	276	16	6	40	7	341	48	297	30	18
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515914	Èeláre	1	326	57	269	6	6	21	24	310	102	224	17	85
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515922	Èelovce	1	315	45	273	10	10	24	1	318	31	287	20	11
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514608	Èerenèany	1	463	114	349	5	23	76	10	434	97	366	62	35
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	1	258	79	179	12	19	32	16	236	54	204	33	21
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	2	129	42	87	4	10	25	3	123	32	97	21	11
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515931	Èerveòany	1	20	9	15	0	2	7	0	24	9	15	7	2
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	1	359	97	262	15	33	42	7	344	68	291	56	12
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	2	56	10	51	2	3	4	1	61	12	49	10	2
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	1	853	182	671	21	62	76	23	786	105	748	38	67
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	2	1191	218	977	14	82	106	16	1 195	148	1047	83	65
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	3	1196	281	915	33	109	112	27	1 173	211	985	90	121
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	4	895	181	722	12	95	59	15	903	117	786	63	54
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514616	Èierny Potok	1	132	40	97	4	14	21	1	137	74	63	23	51
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514624	Èí	1	524	114	433	12	11	76	15	547	73	474	54	19
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515949	Daèov Lom	1	340	53	287	7	8	33	5	336	36	304	26	10
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516716	Dekıš	1	176	67	113	14	9	28	16	180	68	112	36	32
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	1	480	96	384	7	19	58	12	466	47	433	25	22
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	2	466	126	340	4	33	80	9	460	43	423	33	10
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	3	612	173	439	9	34	129	1	612	87	525	61	26
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	4	389	92	297	12	20	56	4	375	40	349	28	12
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	5	1172	384	799	68	81	212	23	1 183	279	904	173	106
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	6	1238	440	809	32	82	296	30	1 249	280	969	185	95
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	7	877	254	648	23	88	113	30	902	156	746	67	89
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	8	1018	337	681	28	60	204	45	989	237	781	129	108
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	9	657	197	461	37	42	108	10	658	133	525	85	48
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	10	1030	273	771	14	63	170	26	1 044	189	855	121	68
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	11	1272	419	853	96	63	217	43	1 260	383	889	269	114
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	12	1087	317	771	22	61	197	37	1 088	198	890	121	77
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	13	495	182	345	13	32	119	18	527	145	382	106	39
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	14	1232	333	899	24	76	210	23	1 152	236	996	168	68
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	15	220	57	163	7	12	30	8	205	46	174	16	30
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	1	384	85	299	12	15	57	1	52	5	379	5	0
