namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	pr1_14_votersreg	pr1_14_votersvalid	pr1_14_nevolici	pr1_14_other	pr1_14_bardos	pr1_14_fico	pr1_14_kiska	pr1_14_knazko	pr1_14_prochazka
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	77	1058	282	776	79	203	853	360	698	28	1	33	84	83	131
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	78	943	308	717	85	223	1025	444	581	32	0	72	99	86	155
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	79	692	190	725	52	138	915	392	523	36	1	34	91	105	125
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	1	916	143	851	73	70	994	399	595	45	3	79	83	67	122
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	2	697	172	525	112	60	692	307	390	21	1	114	70	41	60
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	3	1045	216	829	128	88	1032	344	701	46	0	132	49	37	80
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	4	817	230	587	135	95	787	367	450	36	0	139	64	46	82
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	5	681	183	498	114	69	667	254	427	29	0	92	57	34	42
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	6	1002	237	765	113	124	976	346	656	25	1	105	89	51	75
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	7	834	193	641	106	87	823	334	500	29	0	86	73	46	100
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	8	942	224	718	104	120	936	365	577	33	0	96	86	47	103
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	9	759	171	607	81	90	778	281	497	30	1	87	73	44	46
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	10	620	131	489	58	73	619	250	370	29	0	77	49	27	68
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516651	Banskı Studenec	1	359	85	282	39	46	367	115	252	2	0	48	29	10	26
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514501	Barca	1	313	28	287	27	1	315	31	284	15	13	3	0	0	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516660	Bartošova Lehôtka	1	328	123	209	38	85	332	165	167	18	1	47	37	22	40
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514519	Bátka	1	733	104	629	51	53	725	261	472	25	166	19	39	5	7
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515876	Bátorová	1	305	24	281	18	6	301	109	196	5	10	48	24	12	10
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514535	Belín	1	140	51	95	34	17	146	52	94	11	3	23	10	2	3
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511234	Belina	1	501	54	447	43	11	498	157	344	4	126	8	12	4	3
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516678	Beluj	1	106	22	85	12	10	107	40	67	14	0	8	6	4	8
Banskobystrickı kraj	602	Brezno	603	Brezno	508462	Beòuš	1	982	267	738	83	184	1005	421	584	28	0	94	137	49	113
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557315	Biskupice	1	913	113	800	66	47	904	231	682	16	124	25	46	10	10
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514543	Blhovce	1	619	79	541	54	25	620	173	447	22	108	5	24	4	10
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	1	224	37	187	15	22	222	83	141	10	19	18	24	5	7
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	2	311	73	238	39	34	309	126	185	10	0	81	16	7	12
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514551	Bottovo	1	168	55	114	26	29	169	93	76	24	0	51	9	1	8
Banskobystrickı kraj	602	Brezno	603	Brezno	508489	Braväcovo	1	570	160	410	61	99	565	214	356	17	0	82	53	21	41
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	581607	Brehy	1	893	174	719	83	91	885	363	530	39	1	154	75	27	67
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518191	Breziny	1	287	110	177	70	40	287	95	192	13	1	49	7	15	10
Banskobystrickı kraj	603	Luèenec	607	Poltár	511269	Breznièka	1	638	147	491	71	76	637	274	364	23	0	109	58	29	55
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	1	906	234	672	72	162	875	346	560	27	0	104	86	51	78
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	2	1060	142	918	43	99	1044	227	833	27	0	77	58	22	43
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	3	877	265	612	81	184	842	377	500	31	0	121	91	56	78
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	4	955	282	673	68	214	947	433	522	45	0	106	111	84	87
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	5	849	233	616	109	124	831	367	482	31	1	142	91	37	65
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	6	638	190	448	47	143	628	276	362	15	1	98	64	43	55
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	7	904	259	654	89	170	913	392	521	29	0	157	102	37	67
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	8	858	251	607	72	179	832	370	488	31	0	126	105	49	59
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	9	927	279	648	98	181	897	379	548	25	0	131	97	39	87
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	10	732	269	463	110	159	718	400	332	45	0	137	103	40	75
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	11	605	176	429	67	109	587	261	344	15	0	70	75	40	61
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	12	725	206	519	44	162	715	282	443	20	0	79	77	38	68
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	13	743	235	508	89	146	742	327	416	24	1	119	80	39	64
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	14	854	209	645	46	163	853	283	571	20	0	92	73	26	72
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	15	1033	310	725	52	258	1035	408	627	25	0	90	139	39	115
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	16	1041	349	692	55	294	1028	403	638	36	0	57	125	55	130
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	17	1014	323	691	49	274	1000	381	633	34	0	60	106	64	117
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	18	1008	260	748	41	219	986	344	664	30	0	60	99	54	101
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	19	640	123	517	24	99	631	238	402	18	0	64	74	37	45
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	20	846	145	701	30	115	842	161	685	12	1	59	46	17	26
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	21	221	60	162	9	51	222	82	140	17	0	13	22	6	24
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515884	Brusník	1	88	20	74	12	8	94	35	59	7	0	18	6	1	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	1	816	184	670	52	132	854	407	447	40	5	133	73	64	92
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	2	949	212	772	79	133	984	441	543	58	1	161	73	44	104
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518204	Budèa	1	1049	288	761	149	139	1032	461	588	50	0	123	112	67	109
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514586	Budikovany	1	41	8	37	8	0	45	28	17	10	1	11	2	1	3
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511277	Budiná	1	215	132	85	77	55	217	111	106	12	2	56	15	9	17
Banskobystrickı kraj	603	Luèenec	606	Luèenec	558273	Bulhary	1	227	83	144	78	5	227	120	107	60	49	1	6	4	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515892	Bušince	1	1157	145	1012	59	86	1113	299	858	24	49	79	71	40	36
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511293	Buzitka	1	433	137	296	63	74	428	195	238	13	6	84	49	25	18
Banskobystrickı kraj	602	Brezno	603	Brezno	557251	Bystrá	1	176	68	347	24	44	415	333	82	20	4	36	102	77	94
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516708	Bzenica	1	481	119	362	43	76	479	209	272	19	0	88	32	19	51
Banskobystrickı kraj	606	Zvolen	605	Krupina	518212	Bzovík	1	829	213	616	59	154	820	350	479	55	0	97	69	21	108
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518221	Bzovská Lehôtka	1	109	37	78	31	6	115	56	59	13	0	28	6	3	6
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514594	Cakov	1	211	41	170	38	3	207	36	175	15	12	4	5	0	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518239	Cerovo	1	466	134	332	72	62	445	187	279	22	0	110	28	5	22
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	1	1157	233	924	104	129	1144	402	755	58	0	147	110	25	62
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	2	494	82	412	43	39	489	153	341	13	0	84	20	12	24
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	3	168	22	149	11	11	171	75	96	4	0	38	14	8	11
Banskobystrickı kraj	606	Zvolen	605	Krupina	518247	Èabradskı Vrbovok	1	203	48	158	21	27	206	80	126	10	0	24	32	6	8
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511323	Èakanovce	1	773	95	678	77	18	767	284	489	6	227	16	25	3	7
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511331	Èamovce	1	413	63	353	55	8	416	166	250	9	104	14	27	4	8
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515906	Èebovce	1	925	92	833	57	35	857	297	628	10	144	27	71	13	32
Banskobystrickı kraj	606	Zvolen	605	Krupina	518255	Èekovce	1	345	56	295	22	34	351	127	224	30	1	49	25	8	14
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515914	Èeláre	1	325	51	274	24	27	324	113	212	17	36	23	23	6	8
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515922	Èelovce	1	315	68	250	44	24	318	119	199	14	0	73	9	16	7
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514608	Èerenèany	1	462	129	333	63	66	451	217	245	28	1	70	35	34	49
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	1	258	84	178	37	47	262	146	116	5	0	56	32	21	32
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	2	129	49	80	28	21	129	82	47	7	0	44	17	5	9
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515931	Èerveòany	1	20	7	19	1	6	26	18	8	0	0	10	4	1	3
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	1	359	113	250	58	55	363	158	205	23	2	68	31	9	25
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	2	56	19	40	7	12	59	30	29	3	0	18	4	2	3
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	1	854	203	651	60	143	843	288	566	37	0	77	79	40	55
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	2	1191	340	851	74	266	1182	412	779	42	0	169	98	24	79
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	3	1194	351	843	73	278	1191	455	739	35	0	119	113	30	158
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	4	897	289	612	69	220	901	386	515	39	0	124	88	23	112
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514616	Èierny Potok	1	132	48	91	13	35	139	72	67	8	1	41	6	6	10
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514624	Èí	1	524	83	456	39	44	539	139	400	19	46	26	19	9	20
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515949	Daèov Lom	1	341	55	286	30	25	337	118	223	7	0	63	16	16	16
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516716	Dekıš	1	176	72	106	40	32	178	104	74	20	0	32	18	14	20
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	1	480	71	409	26	45	480	164	316	22	0	61	22	16	43
