namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	15	1041	234	807	21	105	74	34	1033	310	731	52	258
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	16	1039	252	789	25	124	69	34	1041	349	692	55	294
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	17	1020	259	761	26	129	71	33	1014	323	697	49	274
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	18	1012	221	791	29	118	49	25	1008	260	752	41	219
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	19	645	85	560	11	30	25	19	640	123	522	24	99
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	20	845	160	686	34	61	40	25	846	145	701	30	115
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	21	221	69	152	14	16	26	13	221	60	161	9	51
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515884	Brusník	1	87	16	72	1	2	12	1	88	20	68	12	8
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	1	817	142	675	23	44	51	24	816	184	633	52	132
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	2	948	173	776	33	48	72	20	949	212	737	79	133
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518204	Budèa	1	1052	242	810	44	27	136	35	1049	288	764	149	139
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514586	Budikovany	1	41	11	30	0	1	10	0	41	8	33	8	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511277	Budiná	1	215	93	122	13	20	59	1	215	132	83	77	55
Banskobystrickı kraj	603	Luèenec	606	Luèenec	558273	Bulhary	1	227	92	135	7	5	71	9	227	83	144	78	5
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515892	Bušince	1	1154	180	977	23	32	85	40	1157	145	1012	59	86
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511293	Buzitka	1	432	121	312	9	24	77	11	433	137	296	63	74
Banskobystrickı kraj	602	Brezno	603	Brezno	557251	Bystrá	1	176	67	109	11	17	26	13	176	68	108	24	44
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516708	Bzenica	1	487	108	379	10	40	56	2	481	119	368	43	76
Banskobystrickı kraj	606	Zvolen	605	Krupina	518212	Bzovík	1	828	205	624	49	60	78	18	829	213	616	59	154
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518221	Bzovská Lehôtka	1	109	37	72	2	1	32	2	109	37	72	31	6
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514594	Cakov	1	211	66	145	10	1	52	3	211	41	170	38	3
Banskobystrickı kraj	606	Zvolen	605	Krupina	518239	Cerovo	1	468	148	320	37	19	89	3	466	134	334	72	62
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	1	1159	226	933	64	53	93	16	1157	233	926	104	129
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	2	495	93	402	30	8	47	8	494	82	413	43	39
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	3	167	21	147	5	3	12	1	168	22	146	11	11
Banskobystrickı kraj	606	Zvolen	605	Krupina	518247	Èabradskı Vrbovok	1	203	49	154	7	14	22	6	203	48	155	21	27
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511323	Èakanovce	1	774	188	586	28	17	91	52	773	95	679	77	18
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511331	Èamovce	1	413	92	321	24	8	42	18	413	63	350	55	8
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515906	Èebovce	1	925	128	797	5	9	70	44	925	92	833	57	35
Banskobystrickı kraj	606	Zvolen	605	Krupina	518255	Èekovce	1	345	69	276	16	6	40	7	345	56	289	22	34
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515914	Èeláre	1	326	57	269	6	6	21	24	325	51	275	24	27
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515922	Èelovce	1	315	45	270	10	10	24	1	315	68	247	44	24
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514608	Èerenèany	1	463	114	349	5	23	76	10	462	129	334	63	66
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	1	258	79	179	12	19	32	16	258	84	174	37	47
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	2	129	42	87	4	10	25	3	129	49	80	28	21
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515931	Èerveòany	1	20	9	11	0	2	7	0	20	7	13	1	6
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	1	359	97	262	15	33	42	7	359	113	246	58	55
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	2	56	10	46	2	3	4	1	56	19	37	7	12
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	1	853	182	672	21	62	76	23	854	203	651	60	143
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	2	1191	218	973	14	82	106	16	1191	340	851	74	266
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	3	1196	281	915	33	109	112	27	1194	351	845	73	278
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	4	895	181	716	12	95	59	15	897	289	608	69	220
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514616	Èierny Potok	1	132	40	92	4	14	21	1	132	48	84	13	35
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514624	Èí	1	524	114	410	12	11	76	15	524	83	441	39	44
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515949	Daèov Lom	1	340	53	288	7	8	33	5	341	55	286	30	25
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516716	Dekıš	1	176	67	109	14	9	28	16	176	72	104	40	32
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	1	480	96	384	7	19	58	12	480	71	409	26	45
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	2	466	126	341	4	33	80	9	467	99	368	37	62
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	3	612	173	441	9	34	129	1	614	129	485	58	71
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	4	389	92	297	12	20	56	4	389	76	313	33	43
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	5	1172	384	789	68	81	212	23	1173	326	847	140	186
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	6	1238	440	798	32	82	296	30	1238	404	834	192	212
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	7	877	254	623	23	88	113	30	877	249	628	79	170
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	8	1018	337	683	28	60	204	45	1020	308	712	162	146
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	9	657	197	463	37	42	108	10	660	178	482	86	92
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	10	1030	273	757	14	63	170	26	1027	249	781	139	110
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	11	1272	419	854	96	63	217	43	1273	394	879	254	140
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	12	1087	317	770	22	61	197	37	1086	313	774	166	147
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	13	495	182	313	13	32	119	18	495	161	334	92	69
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	14	1232	333	899	24	76	210	23	1231	296	936	168	128
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	15	220	57	163	7	12	30	8	220	54	166	14	40
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	1	384	85	299	12	15	57	1	384	66	318	29	37
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	2	88	18	70	1	3	14	0	88	19	69	13	6
