namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	pr2_14_votersreg	pr2_14_votersvalid	pr2_14_nevolici	pr2_14_fico	pr2_14_kiska
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515931	Èerveòany	1	20	7	24	1	6	31	25	6	16	9
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	1	359	113	247	58	55	360	190	170	110	80
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	2	56	19	50	7	12	69	47	22	31	16
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	1	854	203	651	60	143	844	324	530	122	202
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	2	1191	340	851	74	266	1184	558	633	314	244
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	3	1194	351	843	73	278	1193	529	665	228	301
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	4	897	289	608	69	220	893	502	395	244	258
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514616	Èierny Potok	1	132	48	93	13	35	141	77	64	63	14
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514624	Èí	1	524	83	460	39	44	543	183	360	41	142
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515949	Daèov Lom	1	341	55	286	30	25	336	162	179	104	58
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516716	Dekıš	1	176	72	109	40	32	181	108	73	56	52
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	1	480	71	409	26	45	480	216	264	130	86
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	2	467	99	368	37	62	467	191	276	114	77
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	3	614	129	499	58	71	628	275	353	157	118
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	4	389	76	316	33	43	392	180	212	92	88
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	5	1173	326	847	140	186	1168	543	630	313	230
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	6	1238	404	835	192	212	1239	647	592	407	240
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	7	877	249	628	79	170	820	409	468	176	233
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	8	1020	308	712	162	146	979	540	480	256	284
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	9	660	178	482	86	92	648	301	359	164	137
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	10	1027	249	778	139	110	1004	462	565	253	209
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	11	1273	394	879	254	140	1252	509	764	286	223
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	12	1086	313	773	166	147	1043	486	600	279	207
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	13	495	161	334	92	69	478	295	200	176	119
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	14	1231	296	935	168	128	1191	514	717	307	207
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	15	220	54	179	14	40	233	116	117	40	76
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	1	384	66	318	29	37	384	176	208	117	59
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	2	88	19	69	13	6	88	42	46	32	10
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	3	120	24	96	18	6	120	63	57	41	22
Banskobystrickı kraj	606	Zvolen	605	Krupina	518280	Devièie	1	249	82	167	29	53	243	156	93	105	51
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	1	789	217	619	89	128	836	451	385	275	176
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	2	879	164	715	62	102	864	375	504	224	151
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518298	Dobrá Niva	1	1555	382	1173	237	145	1508	787	768	390	397
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	1	502	136	366	49	87	489	247	255	156	91
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	2	42	12	34	2	10	46	32	14	19	13
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515957	Dolinka	1	411	52	359	42	10	406	168	243	9	159
Banskobystrickı kraj	602	Brezno	603	Brezno	508535	Dolná Lehota	1	609	134	510	61	73	644	322	322	196	126
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508543	Dolná Mièiná	1	311	89	231	34	55	320	161	159	72	89
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515965	Dolná Strehová	1	870	148	722	46	102	852	421	449	250	171
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516724	Dolná Trnávka	1	296	133	163	31	102	289	176	120	64	112
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516732	Dolná Ves	1	203	61	142	26	35	202	114	89	74	40
