namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	vuc1_09_votersreg	vuc1_09_votersvalid	vuc1_09_nevolici	vuc1_09_other	vuc1_09_kotleba	vuc1_09_manka	vuc1_09_mikus	vuc1_09_simko
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	30	590	196	598	84	112	794	198	596	23	28	75	71	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	31	494	179	467	76	103	646	159	487	25	21	48	60	5
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	32	217	90	595	42	48	685	153	532	15	15	39	83	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	33	805	190	812	63	127	1002	354	648	42	35	117	157	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	34	791	240	618	96	144	858	204	654	32	18	68	85	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	35	689	201	647	67	134	848	187	661	20	14	64	88	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	36	973	292	681	124	168	866	202	771	16	15	79	89	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	37	863	229	634	94	135	784	186	677	20	21	55	89	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	38	1147	346	801	160	186	918	221	926	32	23	85	77	4
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	39	1079	332	747	132	200	1017	250	829	28	25	107	89	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	40	1150	373	777	155	218	847	215	935	28	29	78	80	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	41	978	295	683	138	157	597	155	823	13	6	51	84	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	42	909	291	618	118	173	632	145	764	16	14	47	68	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	43	978	291	715	137	154	1006	230	776	29	17	88	90	6
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	44	1057	311	746	151	160	869	183	874	33	20	56	73	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	45	901	269	632	125	144	732	164	737	17	13	52	80	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	46	840	255	585	102	153	690	188	652	26	8	62	90	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	47	801	206	857	102	104	1063	289	774	37	37	93	120	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	48	989	295	694	111	184	804	270	719	36	25	96	113	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	49	940	261	679	120	141	375	146	794	23	15	50	58	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	50	996	239	757	95	144	755	179	817	47	10	75	45	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	51	1108	356	752	196	160	772	182	926	19	18	56	86	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	52	664	173	491	89	84	292	58	606	5	9	17	27	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	53	1021	283	777	117	166	1060	303	757	25	19	112	147	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	54	1039	352	687	174	178	845	235	804	34	24	85	87	5
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	55	1005	308	697	137	171	950	290	715	42	42	83	121	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	56	784	224	676	112	112	900	258	642	36	36	73	111	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	57	745	227	518	104	123	659	144	601	21	28	26	67	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	58	620	193	1037	65	128	1230	397	833	65	54	144	131	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	59	723	266	575	92	174	841	233	608	40	30	68	92	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	60	756	171	585	65	106	718	195	561	22	18	69	85	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	61	777	231	734	100	131	965	231	734	29	21	102	79	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	62	763	181	582	87	94	414	120	643	16	15	31	56	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	63	751	174	629	51	123	803	146	657	22	18	43	62	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	64	953	294	659	97	197	813	201	752	24	22	73	77	5
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	65	984	249	735	71	178	810	199	785	20	20	80	77	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	66	668	178	773	64	114	951	220	731	13	32	92	81	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	67	942	278	753	79	199	1031	190	841	12	31	66	79	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	68	1062	324	807	96	228	1131	234	897	23	42	31	137	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	69	925	278	749	87	191	1027	253	774	41	32	86	92	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	70	1046	285	788	69	216	1073	220	853	18	38	66	97	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	71	882	236	646	78	158	707	156	726	19	17	41	78	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	72	798	222	796	71	151	1018	198	820	20	36	68	74	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	73	817	200	933	55	145	1133	242	891	35	36	53	117	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	74	988	267	721	79	188	884	233	755	16	32	63	120	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	75	1063	330	774	116	214	1104	241	863	16	32	71	121	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	76	886	261	885	81	180	1146	251	895	33	39	58	116	5
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	77	1058	282	848	79	203	1130	221	909	19	42	50	106	4
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	78	943	308	824	85	223	1132	238	894	17	35	70	116	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	79	692	190	1062	52	138	1252	244	1008	25	35	73	109	2
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	1	916	143	773	73	70	895	183	733	20	6	50	100	7
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	2	697	172	576	112	60	748	182	566	5	6	91	78	2
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	3	1045	216	855	128	88	1071	274	797	32	22	92	124	4
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	4	817	230	599	135	95	829	233	596	14	17	111	88	3
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	5	681	183	512	114	69	695	177	518	12	7	109	46	3
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	6	1002	237	801	113	124	1038	222	816	26	22	99	70	5
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	7	834	193	676	106	87	869	168	701	13	13	55	85	2
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	8	942	224	718	104	120	886	176	766	15	21	77	62	1
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	9	759	171	588	81	90	750	184	575	16	10	83	73	2
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	10	620	131	489	58	73	614	135	485	13	12	51	56	3
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516651	Banskı Studenec	1	359	85	282	39	46	367	64	303	16	7	21	20	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514501	Barca	1	313	28	285	27	1	291	64	249	22	0	2	6	34
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516660	Bartošova Lehôtka	1	328	123	215	38	85	338	50	288	1	12	25	12	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514519	Bátka	1	733	104	629	51	53	726	276	457	51	12	15	43	155
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515876	Bátorová	1	305	24	281	18	6	303	99	206	29	4	46	20	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514535	Belín	1	140	51	89	34	17	136	38	102	2	1	10	1	24
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511234	Belina	1	501	54	447	43	11	478	211	290	194	1	3	13	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516678	Beluj	1	106	22	90	12	10	112	45	67	10	2	18	14	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508462	Beòuš	1	982	267	715	83	184	981	196	786	24	30	65	75	2
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557315	Biskupice	1	913	113	813	66	47	926	193	733	131	5	20	35	2
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514543	Blhovce	1	619	79	540	54	25	608	180	439	92	7	9	36	36
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	1	224	37	199	15	22	236	57	179	22	4	18	12	1
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	2	311	73	238	39	34	307	72	239	6	2	50	12	2
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514551	Bottovo	1	168	55	116	26	29	171	92	79	45	1	8	23	15
Banskobystrickı kraj	602	Brezno	603	Brezno	508489	Braväcovo	1	570	160	421	61	99	581	107	474	24	3	51	29	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	581607	Brehy	1	893	174	737	83	91	911	229	682	32	26	98	70	3
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518191	Breziny	1	287	110	177	70	40	277	88	199	12	2	67	6	1
Banskobystrickı kraj	603	Luèenec	607	Poltár	511269	Breznièka	1	638	147	491	71	76	630	169	469	42	9	71	34	13
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	1	906	234	686	72	162	920	225	695	41	41	61	72	10
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	2	1060	142	918	43	99	791	112	948	14	12	47	37	2
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	3	877	265	668	81	184	933	253	680	42	35	88	78	10
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	4	955	282	722	68	214	1004	288	716	47	44	71	116	10
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	5	849	233	673	109	124	906	230	676	28	22	108	66	6
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	6	638	190	525	47	143	715	172	543	18	19	66	56	13
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	7	904	259	716	89	170	975	221	754	31	26	104	47	13
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	8	858	251	679	72	179	930	228	702	24	25	96	74	9
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	9	927	279	668	98	181	947	234	713	30	24	94	72	14
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	10	732	269	507	110	159	776	252	524	24	20	104	88	16
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	11	605	176	486	67	109	662	149	513	18	16	57	53	5
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	12	725	206	579	44	162	785	148	637	23	24	46	53	2
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	13	743	235	551	89	146	786	195	591	26	17	67	68	17
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	14	854	209	645	46	163	818	212	642	37	31	87	49	8
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	15	1033	310	727	52	258	1037	187	850	27	40	48	64	8
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	16	1041	349	749	55	294	1098	193	905	29	52	46	60	6
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	17	1014	323	691	49	274	997	192	822	29	26	58	74	5
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	18	1008	260	777	41	219	1037	163	874	19	47	50	46	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	19	640	123	520	24	99	643	74	569	16	12	17	26	3
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	20	846	145	703	30	115	848	189	659	56	30	58	40	5
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	21	221	60	171	9	51	231	59	172	10	9	9	30	1
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515884	Brusník	1	88	20	68	12	8	80	35	53	2	2	26	5	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	1	816	184	641	52	132	825	230	595	38	31	71	86	4
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	2	949	212	744	79	133	956	236	720	42	32	87	70	5
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518204	Budèa	1	1049	288	761	149	139	1029	285	764	9	17	157	102	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514586	Budikovany	1	41	8	33	8	0	38	16	25	2	0	9	0	5
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511277	Budiná	1	215	132	85	77	55	217	88	129	21	8	44	13	2
Banskobystrickı kraj	603	Luèenec	606	Luèenec	558273	Bulhary	1	227	83	144	78	5	215	94	133	70	5	4	10	5
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515892	Bušince	1	1157	145	1012	59	86	1120	334	823	68	13	50	201	2
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511293	Buzitka	1	433	137	298	63	74	435	83	352	20	14	24	23	2
Banskobystrickı kraj	602	Brezno	603	Brezno	557251	Bystrá	1	176	68	108	24	44	174	61	115	11	10	21	18	1
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516708	Bzenica	1	481	119	362	43	76	448	90	391	13	23	42	12	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518212	Bzovík	1	829	213	616	59	154	791	186	643	33	24	63	62	4
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518221	Bzovská Lehôtka	1	109	37	72	31	6	103	62	47	2	2	36	22	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514594	Cakov	1	211	41	170	38	3	194	93	118	27	2	6	2	56
Banskobystrickı kraj	606	Zvolen	605	Krupina	518239	Cerovo	1	466	134	332	72	62	402	139	327	25	7	92	15	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	1	1157	233	942	104	129	1175	315	860	76	43	127	51	18
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	2	494	82	430	43	39	512	130	382	36	14	52	21	7
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	3	168	22	150	11	11	172	32	140	6	2	17	5	2
Banskobystrickı kraj	606	Zvolen	605	Krupina	518247	Èabradskı Vrbovok	1	203	48	159	21	27	207	36	171	4	7	20	4	1
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511323	Èakanovce	1	773	95	678	77	18	753	283	490	190	19	33	34	7
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511331	Èamovce	1	413	63	350	55	8	401	158	255	108	10	2	26	12
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515906	Èebovce	1	925	92	833	57	35	856	199	726	74	6	75	42	2
Banskobystrickı kraj	606	Zvolen	605	Krupina	518255	Èekovce	1	345	56	289	22	34	341	59	286	10	9	24	16	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515914	Èeláre	1	325	51	274	24	27	310	124	201	16	3	14	87	4
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515922	Èelovce	1	315	68	250	44	24	318	83	235	52	3	18	10	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514608	Èerenèany	1	462	129	333	63	66	434	139	323	21	10	55	30	23
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	1	258	84	174	37	47	235	56	202	9	3	24	19	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	2	129	49	80	28	21	123	41	88	4	4	24	8	1
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515931	Èerveòany	1	20	7	17	1	6	24	9	15	0	1	5	3	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	1	359	113	246	58	55	344	80	279	9	8	56	6	1
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	2	56	19	42	7	12	61	8	53	1	1	6	0	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	1	854	203	651	60	143	782	189	665	35	35	48	67	4
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	2	1191	340	851	74	266	1191	282	909	52	61	102	63	4
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	3	1194	351	843	73	278	1172	356	838	52	85	94	115	10
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	4	897	289	614	69	220	903	209	694	29	73	44	56	7
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514616	Èierny Potok	1	132	48	89	13	35	137	68	69	5	3	12	35	13
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514624	Èí	1	524	83	464	39	44	547	165	382	91	4	29	19	22
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515949	Daèov Lom	1	341	55	286	30	25	336	61	280	18	6	29	8	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516716	Dekıš	1	176	72	108	40	32	180	64	116	9	1	27	27	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	1	480	71	409	26	45	467	146	334	19	6	83	38	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	2	467	99	368	37	62	460	185	282	17	10	112	46	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	3	614	129	485	58	71	613	213	401	36	18	121	38	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	4	389	76	313	33	43	375	124	265	31	8	56	25	4
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	5	1173	326	859	140	186	1185	437	748	66	38	192	134	7
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	6	1238	404	844	192	212	1248	547	701	91	54	237	159	6
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	7	877	249	651	79	170	900	293	607	36	33	130	93	1
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	8	1020	308	712	162	146	990	365	655	41	27	185	112	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	9	660	178	482	86	92	660	244	416	38	27	120	56	3
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	10	1027	249	795	139	110	1044	333	711	53	24	179	73	4
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	11	1273	394	879	254	140	1261	470	803	122	43	170	123	12
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	12	1086	313	773	166	147	1086	329	757	54	47	150	76	2
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	13	495	161	366	92	69	527	197	330	23	16	114	40	4
