namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	eu_14_votersreg	eu_14_votersvalid	eu_14_nevolici	eu_14_other	eu_14_nova	eu_14_kdh	eu_14_smer	eu_14_most	eu_14_ol	eu_14_sas	eu_14_sdku	eu_14_smk		
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518221	Bzovská Lehôtka	1	109	37	72	2	1	32	2	109	22	87	5	0	8	7	0	0	2	0	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514594	Cakov	1	211	66	145	10	1	52	3	210	38	173	3	0	0	0	8	20	0	0	7		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518239	Cerovo	1	468	148	320	37	19	89	3	449	95	373	42	1	6	41	0	2	2	1	0		
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	1	1159	226	933	64	53	93	16	1134	122	1037	39	6	12	46	0	7	2	10	0		
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	2	495	93	404	30	8	47	8	497	41	456	14	1	5	16	0	2	1	2	0		
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	3	167	21	151	5	3	12	1	172	18	154	4	2	0	11	0	0	1	0	0		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518247	Èabradskı Vrbovok	1	203	49	156	7	14	22	6	205	21	184	10	0	1	9	0	0	0	1	0		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511323	Èakanovce	1	774	188	586	28	17	91	52	770	153	621	20	6	1	2	25	0	2	1	96		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511331	Èamovce	1	413	92	328	24	8	42	18	420	99	321	7	3	1	4	24	6	0	2	52		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515906	Èebovce	1	925	128	797	5	9	70	44	857	114	811	15	4	4	6	9	4	2	1	69		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518255	Èekovce	1	345	69	283	16	6	40	7	352	46	306	9	2	15	11	0	8	0	1	0		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515914	Èeláre	1	326	57	269	6	6	21	24	321	61	265	14	1	9	5	17	0	1	0	14		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515922	Èelovce	1	315	45	276	10	10	24	1	321	24	297	5	6	0	10	1	0	0	0	2		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514608	Èerenèany	1	463	114	349	5	23	76	10	453	71	392	22	4	1	27	6	0	3	7	1		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	1	258	79	180	12	19	32	16	259	46	213	11	4	1	22	0	6	0	2	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	2	129	42	87	4	10	25	3	127	33	96	7	0	2	13	0	2	4	5	0		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515931	Èerveòany	1	20	9	13	0	2	7	0	22	8	14	4	0	0	4	0	0	0	0	0		
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	1	359	97	268	15	33	42	7	365	48	317	23	6	4	12	0	2	0	0	1		
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	2	56	10	46	2	3	4	1	56	15	41	5	0	1	7	0	2	0	0	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	1	853	182	676	21	62	76	23	858	85	773	28	9	17	10	2	7	7	5	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	2	1191	218	973	14	82	106	16	1180	90	1101	21	9	13	31	0	8	2	6	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	3	1196	281	915	33	109	112	27	1188	89	1107	29	14	4	25	0	6	1	10	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	4	895	181	727	12	95	59	15	908	99	809	30	13	14	16	0	19	3	4	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514616	Èierny Potok	1	132	40	97	4	14	21	1	137	35	102	17	0	1	13	2	0	0	0	2		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514624	Èí	1	524	114	413	12	11	76	15	527	60	467	7	2	2	7	9	0	3	0	30		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515949	Daèov Lom	1	340	53	287	7	8	33	5	340	24	316	9	0	0	11	0	0	2	2	0		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516716	Dekıš	1	176	67	109	14	9	28	16	173	48	128	20	0	6	15	1	1	1	4	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	1	480	96	394	7	19	58	12	490	44	446	11	1	17	9	0	5	1	0	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	2	466	126	345	4	33	80	9	471	37	434	13	1	4	14	0	1	2	2	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	3	612	173	453	9	34	129	1	626	51	575	19	0	4	17	0	6	3	1	1		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	4	389	92	302	12	20	56	4	394	25	369	9	0	7	5	0	3	0	1	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	5	1172	384	788	68	81	212	23	1167	114	1058	23	2	20	48	0	9	9	3	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	6	1238	440	799	32	82	296	30	1239	162	1077	34	1	28	74	0	12	8	5	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	7	877	254	623	23	88	113	30	842	83	794	25	5	6	30	0	4	8	5	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	8	1018	337	681	28	60	204	45	995	134	884	26	9	19	51	0	12	8	9	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	9	657	197	468	37	42	108	10	665	84	581	14	5	6	40	0	8	8	3	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	10	1030	273	757	14	63	170	26	1004	128	902	26	4	14	55	1	14	13	1	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	11	1272	419	853	96	63	217	43	1259	171	1101	36	8	15	88	2	8	8	6	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	12	1087	317	770	22	61	197	37	1050	139	948	27	1	1	76	1	10	10	13	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	13	495	182	313	13	32	119	18	490	94	401	20	5	1	48	1	9	4	6	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	14	1232	333	899	24	76	210	23	1227	138	1094	34	2	7	65	6	11	6	7	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	15	220	57	183	7	12	30	8	240	40	200	15	1	8	3	1	3	4	5	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	1	384	85	300	12	15	57	1	385	32	353	10	0	5	10	0	1	6	0	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	2	88	18	70	1	3	14	0	84	15	73	5	0	2	6	0	2	0	0	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	3	120	32	88	5	7	15	5	119	15	105	4	0	3	5	0	2	0	1	0		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518280	Devièie	1	250	101	152	17	23	49	12	253	35	218	15	0	1	7	1	2	6	3	0		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	1	789	196	633	21	45	106	24	829	121	708	29	9	12	44	0	12	10	5	0		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	2	881	160	721	37	29	85	9	857	80	801	21	6	2	33	0	10	5	3	0		
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518298	Dobrá Niva	1	1554	372	1182	21	49	236	66	1524	199	1355	40	2	11	101	0	16	6	23	0		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	1	502	107	399	9	27	59	12	506	48	458	12	1	0	24	0	2	3	6	0		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	2	42	8	37	0	4	4	0	45	17	28	10	0	1	1	0	0	2	3	0		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515957	Dolinka	1	412	77	335	19	2	33	23	406	108	304	2	2	0	2	40	0	0	1	61		
Banskobystrickı kraj	602	Brezno	603	Brezno	508535	Dolná Lehota	1	609	97	523	23	13	53	8	620	67	553	15	0	19	20	0	4	5	4	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508543	Dolná Mièiná	1	311	77	236	16	16	35	10	313	30	283	7	0	0	12	1	5	2	3	0		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515965	Dolná Strehová	1	871	105	766	24	20	34	27	853	81	790	19	4	8	19	0	11	3	17	0		
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516724	Dolná Trnávka	1	295	115	180	24	38	48	5	291	95	200	34	3	32	14	2	3	2	5	0		
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516732	Dolná Ves	1	203	41	163	1	6	30	4	204	35	169	12	0	0	18	0	5	0	0	0		
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516741	Dolná daòa	1	673	130	554	20	36	66	8	684	88	596	21	1	11	30	0	14	2	9	0		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518301	Dolné Mladonice	1	105	40	68	13	6	19	2	108	23	85	5	0	2	9	0	5	1	1	0		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515973	Dolné Plachtince	1	491	72	443	18	17	33	4	515	51	464	22	3	8	10	2	3	2	1	0		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515981	Dolné Strháre	1	173	43	130	6	4	22	11	170	27	146	3	2	1	15	1	0	1	3	1		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514632	Dolné Zahorany	1	157	37	121	5	4	21	7	158	43	115	1	0	1	0	24	0	2	2	13		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518310	Dolnı Badín	1	213	99	114	15	30	48	6	211	43	170	11	0	9	12	0	5	3	3	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508551	Dolnı Harmanec	1	192	48	147	8	14	19	7	195	37	158	10	3	3	16	0	2	0	3	0		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518336	Domaníky	1	163	39	130	12	3	23	1	169	22	147	11	1	2	5	1	1	0	1	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508560	Donovaly	1	175	56	185	7	22	19	8	241	96	145	17	13	11	20	1	17	6	11	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508578	Drábsko	1	160	40	127	2	9	28	1	167	31	136	13	1	0	11	1	2	0	2	1		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514641	Draice	1	181	25	157	5	4	10	6	182	31	151	1	0	0	0	19	0	0	2	9		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518344	Dráovce	1	101	32	71	9	4	16	3	103	27	76	11	4	2	6	0	3	0	0	1		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514659	Drienèany	1	161	54	109	7	17	30	0	163	34	129	14	0	0	8	5	1	4	1	1		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518352	Drienovo	1	87	32	55	10	9	8	5	85	22	65	7	0	5	5	0	0	5	0	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514667	Dròa	1	137	44	100	10	8	12	14	144	40	104	6	0	2	0	21	0	0	0	11		
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514675	Drkovce	1	403	172	233	40	23	81	28	405	58	347	6	1	1	0	19	0	0	1	30		
Banskobystrickı kraj	603	Luèenec	607	Poltár	557323	Ïubákovo	1	79	23	61	0	10	11	2	84	18	66	6	2	1	9	0	0	0	0	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514683	Dubno	1	120	57	79	7	8	33	9	136	40	96	21	1	0	0	5	0	0	0	13		
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518361	Dubové	1	216	62	154	4	4	52	2	213	49	167	17	0	1	29	0	0	2	0	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514691	Dubovec	1	391	98	293	28	16	42	12	386	41	350	3	1	0	0	25	8	0	1	3		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508586	Dúbravica	1	303	100	203	15	26	44	15	297	40	263	12	1	1	15	0	4	2	5	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	1	537	183	354	20	34	126	3	528	65	472	17	0	4	32	0	10	1	1	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	2	167	58	113	3	8	45	2	171	22	149	3	0	0	17	0	1	1	0	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	3	98	53	51	5	14	29	5	104	23	81	12	0	0	5	0	4	1	1	0		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518387	Dudince	1	1245	261	1030	24	44	156	37	1291	237	1054	55	8	34	90	5	20	8	17	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557919	Dulovo	1	120	20	105	10	3	6	1	125	35	90	14	2	2	3	4	0	0	5	5		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515990	Ïurkovce	1	113	26	87	8	0	16	2	113	20	93	1	0	0	7	4	0	1	0	7		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514713	Figa	1	316	99	217	61	13	17	8	315	24	292	9	1	2	7	3	1	0	0	1		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	1	961	175	786	18	39	82	36	933	62	899	10	0	1	9	14	0	0	1	27		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	2	882	136	746	41	11	60	24	858	48	834	12	0	2	7	12	3	2	0	10		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	3	924	158	766	23	11	93	31	891	72	852	9	2	0	13	24	2	0	0	22		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	4	918	197	721	26	22	92	57	896	84	834	9	2	2	11	19	3	1	4	33		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	5	1013	218	795	27	29	100	62	977	146	867	16	1	1	20	50	4	2	1	51		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	6	621	85	536	14	8	48	15	604	41	580	3	2	0	6	9	1	0	1	19		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	7	946	97	849	14	15	51	17	941	62	884	7	0	3	8	15	3	0	0	26		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	8	762	137	625	27	15	61	34	752	62	700	1	1	0	9	22	3	8	3	15		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	9	1181	184	997	32	24	86	42	1159	57	1124	14	2	2	4	19	2	1	2	11		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511404	Fi¾akovské Kováèe	1	705	104	601	19	15	53	17	704	50	655	8	2	4	1	16	0	0	1	18		
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514721	Gemer	1	689	90	599	27	11	19	33	686	80	609	6	1	3	7	40	0	2	0	21		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514730	Gemerèek	1	90	17	77	0	1	11	5	94	22	72	2	1	0	0	13	0	0	1	5		
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514756	Gemerská Ves	1	695	78	625	29	7	36	6	703	62	641	2	4	1	3	20	11	2	1	18		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514764	Gemerské Dechtáre	1	363	129	235	21	6	75	27	364	102	262	14	1	1	0	13	0	3	0	70		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557889	Gemerské Michalovce	1	79	26	53	5	1	4	16	73	22	57	5	1	1	0	10	0	1	0	4		
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	1	165	44	128	5	6	33	0	172	15	157	0	0	0	12	0	1	0	0	2		
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	2	132	47	85	7	9	27	4	130	15	117	3	0	0	10	0	0	0	2	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514781	Gemerskı Jablonec	1	585	196	389	32	10	123	31	585	133	452	13	5	1	5	31	2	5	0	71		
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	1	107	26	91	5	12	9	0	117	27	90	8	3	1	5	1	4	1	0	4		
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	2	134	43	94	10	9	17	7	137	20	117	8	2	0	2	4	0	0	1	3		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516007	Glabušovce	1	94	38	61	2	0	31	5	99	34	65	4	2	2	4	1	0	5	4	12		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514799	Gortva	1	393	76	323	50	3	12	11	399	32	367	4	0	0	1	21	0	0	0	6		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557331	Gregorova Vieska	1	107	26	84	3	5	11	7	110	21	89	7	1	0	11	0	0	0	2	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514811	Hajnáèka	1	961	232	729	26	8	168	30	949	148	813	11	8	1	13	72	0	0	1	42		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511421	Haliè	1	1387	369	1018	49	85	152	83	1348	139	1248	36	8	14	46	2	9	7	17	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508594	Harmanec	1	750	130	627	17	35	63	15	757	78	679	25	7	6	37	0	0	1	2	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	1	745	138	607	18	49	60	11	736	75	670	24	12	7	23	0	3	6	0	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	2	791	81	710	7	32	32	10	786	72	719	30	3	15	23	0	0	0	1	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	3	760	151	609	20	65	50	16	749	95	665	34	1	11	27	0	15	4	3	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508616	Hiade¾	1	433	92	344	6	22	34	30	436	45	391	12	1	4	16	0	1	5	6	0		
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	1	1236	201	1035	39	47	98	17	1220	148	1088	51	8	17	52	1	8	4	7	0		
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	2	1182	269	913	26	58	159	26	1148	153	1029	43	8	14	52	0	21	9	5	1		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	1	342	63	279	15	14	25	9	223	20	322	10	3	0	6	0	0	1	0	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	2	704	80	631	14	31	30	5	711	33	678	17	0	2	12	0	0	0	2	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	3	845	155	690	17	37	79	22	811	71	774	27	1	4	28	1	1	2	7	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	4	1182	300	882	21	114	120	45	1171	132	1050	43	2	2	62	1	8	3	11	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	5	670	180	490	5	55	101	19	661	93	577	25	11	1	40	0	7	4	4	1		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	6	917	225	692	16	92	84	33	888	106	811	53	6	3	28	0	3	5	8	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	7	1053	183	870	43	54	69	17	1051	69	984	22	1	1	41	1	1	1	1	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514837	Hodejov	1	1053	187	882	89	47	37	14	1069	75	994	13	2	2	26	17	0	0	1	14		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514845	Hodejovec	1	156	17	139	1	4	8	4	156	22	134	8	0	1	1	4	0	0	1	7		
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	1	561	86	475	8	13	47	18	555	71	490	20	0	0	32	4	4	5	6	0		
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	2	1186	297	894	34	28	183	52	1191	139	1052	35	3	9	66	1	2	4	19	0		
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	3	104	37	67	1	10	23	3	102	32	72	3	1	0	21	0	2	1	4	0		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511439	Holiša	1	480	55	425	11	2	26	16	468	43	437	7	1	4	4	9	1	1	0	16		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518409	Hontianske Moravce	1	714	252	462	32	55	152	13	664	112	602	41	5	6	45	0	5	5	5	0		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518417	Hontianske Nemce	1	1223	204	1019	21	54	101	28	1211	127	1096	36	1	25	50	1	10	3	1	0		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	1	415	78	338	32	7	33	6	416	38	378	9	2	4	11	0	8	2	2	0		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	2	51	16	39	1	0	15	0	55	15	40	3	0	2	7	0	2	0	1	0		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	3	145	22	123	2	2	17	1	145	19	126	5	1	1	10	1	1	0	0	0		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	4	84	32	53	13	4	12	3	85	20	65	5	0	1	8	0	2	3	1	0		
Banskobystrickı kraj	602	Brezno	603	Brezno	508624	Horná Lehota	1	480	106	400	6	28	60	12	506	85	421	14	8	5	38	0	4	4	11	1		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508632	Horná Mièiná	1	473	135	346	22	28	63	22	481	78	403	18	2	2	31	0	12	4	9	0		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516015	Horná Strehová	1	132	30	110	9	11	8	2	140	31	109	15	1	0	6	3	1	2	3	0		
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	581747	Horná Ves	1	595	112	483	12	30	44	26	594	72	523	13	6	13	27	0	1	6	6	0		
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516791	Horná daòa	1	435	95	340	16	11	61	7	430	81	354	28	10	12	25	0	2	2	2	0		
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516805	Horné Hámre	1	492	114	397	15	30	62	7	511	97	414	34	7	14	18	0	10	10	4	0		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518433	Horné Mladonice	1	134	60	78	22	8	30	0	138	17	121	4	2	3	8	0	0	0	0	0		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516023	Horné Plachtince	1	172	28	145	8	7	12	1	173	23	150	9	2	0	9	0	1	1	1	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508641	Horné Pršany	1	321	119	202	25	23	55	16	317	50	271	13	3	0	24	0	3	5	2	0		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516031	Horné Strháre	1	190	42	148	11	8	20	3	190	23	167	6	2	1	7	2	1	1	3	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514853	Horné Zahorany	1	112	41	71	5	11	22	3	107	37	75	18	0	1	10	4	0	0	4	0		
Banskobystrickı kraj	606	Zvolen	605	Krupina	518441	Hornı Badín	1	147	82	68	12	20	40	10	150	33	117	10	1	6	14	0	2	0	0	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518450	Hornı Tisovník	1	177	75	104	10	18	40	7	179	47	132	25	2	0	18	0	0	1	1	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514861	Hostice	1	675	215	471	109	15	45	46	686	63	623	5	0	0	4	30	0	1	0	23		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514870	Hostišovce	1	158	25	136	5	2	17	1	161	12	149	5	0	0	7	0	0	0	0	0		
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516813	Hrabièov	1	474	93	381	22	22	45	4	474	51	423	14	2	9	23	0	3	0	0	0		
Banskobystrickı kraj	603	Luèenec	607	Poltár	511447	Hradište	1	218	86	136	4	22	57	3	222	47	175	15	2	0	26	0	1	1	1	1		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	1	656	141	515	12	50	71	8	647	80	576	23	1	3	40	1	1	5	6	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	2	57	22	35	2	9	10	1	56	10	47	4	2	0	1	0	2	1	0	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	1	418	77	345	15	6	56	0	422	26	396	9	2	5	7	0	2	0	1	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	2	742	210	535	26	37	130	17	745	74	671	26	3	6	24	0	5	2	7	1		
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	3	201	60	158	9	6	42	3	218	31	187	12	0	14	1	0	1	1	2	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	4	220	82	149	3	11	65	3	231	40	191	9	2	13	16	0	0	0	0	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	5	196	52	154	3	5	42	2	206	26	180	6	0	7	9	0	1	1	2	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	6	375	76	299	8	20	41	7	371	28	347	10	1	9	6	0	0	2	0	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	7	512	114	398	16	22	63	13	499	42	470	15	2	2	20	0	1	1	1	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	8	814	215	599	30	25	127	33	808	96	718	26	4	17	34	1	11	3	0	0		
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	9	768	232	536	20	25	160	27	751	102	666	19	1	7	55	2	9	3	6	0		
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514896	Hrlica	1	61	22	40	5	5	12	0	62	14	48	10	0	1	1	0	0	2	0	0		
Banskobystrickı kraj	603	Luèenec	607	Poltár	514900	Hrnèiarska Ves	1	655	182	475	42	53	75	12	657	56	601	14	2	1	29	0	3	2	5	0		
