namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	vuc1_09_votersreg	vuc1_09_votersvalid	vuc1_09_nevolici	vuc1_09_other	vuc1_09_kotleba	vuc1_09_manka	vuc1_09_mikus	vuc1_09_simko
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	1	853	182	671	21	62	76	23	782	189	664	35	35	48	67	4
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	2	1191	218	973	14	82	106	16	1191	282	909	52	61	102	63	4
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	3	1196	281	915	33	109	112	27	1172	356	840	52	85	94	115	10
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	4	895	181	722	12	95	59	15	903	209	694	29	73	44	56	7
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514616	Èierny Potok	1	132	40	97	4	14	21	1	137	68	69	5	3	12	35	13
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514624	Èí	1	524	114	433	12	11	76	15	547	165	382	91	4	29	19	22
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515949	Daèov Lom	1	340	53	287	7	8	33	5	336	61	279	18	6	29	8	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516716	Dekıš	1	176	67	113	14	9	28	16	180	64	116	9	1	27	27	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	1	480	96	384	7	19	58	12	467	146	334	19	6	83	38	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	2	466	126	340	4	33	80	9	460	185	281	17	10	112	46	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	3	612	173	440	9	34	129	1	613	213	400	36	18	121	38	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	4	389	92	297	12	20	56	4	375	124	265	31	8	56	25	4
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	5	1172	384	801	68	81	212	23	1185	437	748	66	38	192	134	7
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	6	1238	440	808	32	82	296	30	1248	547	701	91	54	237	159	6
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	7	877	254	646	23	88	113	30	900	293	607	36	33	130	93	1
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	8	1018	337	681	28	60	204	45	990	365	653	41	27	185	112	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	9	657	197	463	37	42	108	10	660	244	416	38	27	120	56	3
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	10	1030	273	771	14	63	170	26	1044	333	711	53	24	179	73	4
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	11	1272	419	853	96	63	217	43	1261	470	802	122	43	170	123	12
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	12	1087	317	770	22	61	197	37	1086	329	758	54	47	150	76	2
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	13	495	182	345	13	32	119	18	527	197	330	23	16	114	40	4
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	14	1232	333	899	24	76	210	23	1151	379	853	35	37	219	82	6
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	15	220	57	163	7	12	30	8	205	91	129	21	4	23	39	4
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	1	384	85	299	12	15	57	1	52	6	378	0	0	5	0	1
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	2	88	18	308	1	3	14	0	326	88	238	7	4	50	26	1
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	3	120	32	88	5	7	15	5	92	25	95	2	7	9	7	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518280	Devièie	1	250	101	149	17	23	49	12	233	72	178	9	15	33	15	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	1	789	196	593	21	45	106	24	755	212	577	29	24	80	64	15
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	2	881	160	721	37	29	85	9	876	234	647	46	38	78	62	10
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518298	Dobrá Niva	1	1554	372	1182	21	49	236	66	1530	358	1196	19	20	188	122	9
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	1	502	107	402	9	27	59	12	509	123	386	29	13	48	32	1
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	2	42	8	36	0	4	4	0	44	13	31	1	1	5	6	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515957	Dolinka	1	412	77	335	19	2	33	23	392	93	319	48	6	9	25	5
Banskobystrickı kraj	602	Brezno	603	Brezno	508535	Dolná Lehota	1	609	97	512	23	13	53	8	603	113	496	18	9	52	34	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508543	Dolná Mièiná	1	311	77	234	16	16	35	10	297	59	252	12	9	17	20	1
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515965	Dolná Strehová	1	871	105	766	24	20	34	27	841	291	580	28	40	103	115	5
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516724	Dolná Trnávka	1	295	115	189	24	38	48	5	304	112	192	9	39	26	34	4
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516732	Dolná Ves	1	203	41	167	1	6	30	4	208	32	176	6	6	10	10	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516741	Dolná daòa	1	673	130	543	20	36	66	8	554	145	528	30	27	65	23	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518301	Dolné Mladonice	1	105	40	65	13	6	19	2	105	46	59	1	5	14	25	1
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515973	Dolné Plachtince	1	491	72	421	18	17	33	4	493	114	379	13	13	41	35	12
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515981	Dolné Strháre	1	173	43	130	6	4	22	11	165	58	115	12	3	25	16	2
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514632	Dolné Zahorany	1	157	37	130	5	4	21	7	167	46	121	16	4	2	15	9
Banskobystrickı kraj	606	Zvolen	605	Krupina	518310	Dolnı Badín	1	213	99	114	15	30	48	6	206	75	138	4	7	28	35	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508551	Dolnı Harmanec	1	192	48	144	8	14	19	7	180	54	138	12	7	18	16	1
Banskobystrickı kraj	606	Zvolen	605	Krupina	518336	Domaníky	1	163	39	124	12	3	23	1	161	60	103	14	1	29	15	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508560	Donovaly	1	175	56	136	7	22	19	8	192	78	114	1	7	36	34	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508578	Drábsko	1	160	40	122	2	9	28	1	162	34	128	5	5	15	9	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514641	Draice	1	181	25	156	5	4	10	6	157	25	156	8	1	9	4	3
Banskobystrickı kraj	606	Zvolen	605	Krupina	518344	Dráovce	1	101	32	69	9	4	16	3	90	42	59	16	3	11	12	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514659	Drienèany	1	161	54	116	7	17	30	0	170	56	114	20	7	20	7	2
Banskobystrickı kraj	606	Zvolen	605	Krupina	518352	Drienovo	1	87	32	57	10	9	8	5	89	23	66	2	1	9	11	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514667	Dròa	1	137	44	99	10	8	12	14	143	63	80	25	1	15	2	20
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514675	Drkovce	1	403	172	231	40	23	81	28	392	167	236	93	5	7	47	15
Banskobystrickı kraj	603	Luèenec	607	Poltár	557323	Ïubákovo	1	79	23	61	0	10	11	2	84	31	53	0	8	12	11	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514683	Dubno	1	120	57	69	7	8	33	9	126	59	67	23	2	17	3	14
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518361	Dubové	1	216	62	154	4	4	52	2	211	69	147	2	0	59	6	2
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514691	Dubovec	1	391	98	293	28	16	42	12	382	88	303	32	6	9	15	26
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508586	Dúbravica	1	303	100	203	15	26	44	15	290	56	247	8	6	22	18	2
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	1	537	183	354	20	34	126	3	521	155	382	29	9	90	27	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	2	167	58	114	3	8	45	2	172	33	139	11	1	19	2	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	3	98	53	50	5	14	29	5	103	41	62	23	0	13	5	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518387	Dudince	1	1245	261	992	24	44	156	37	1253	380	873	55	42	153	124	6
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557919	Dulovo	1	120	20	103	10	3	6	1	123	10	113	2	2	1	4	1
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515990	Ïurkovce	1	113	26	87	8	0	16	2	106	38	75	11	2	16	6	3
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514713	Figa	1	316	99	217	61	13	17	8	300	76	240	30	12	18	11	5
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	1	961	175	799	18	39	82	36	974	218	756	108	22	34	47	7
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	2	882	136	778	41	11	60	24	914	167	747	85	12	45	23	2
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	3	924	158	766	23	11	93	31	923	171	753	94	13	38	22	4
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	4	918	197	765	26	22	92	57	962	202	760	127	14	32	25	4
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	5	1013	218	819	27	29	100	62	1037	268	769	148	18	47	47	8
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	6	621	85	541	14	8	48	15	626	111	515	75	6	15	12	3
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	7	946	97	849	14	15	51	17	923	141	805	90	6	18	21	6
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	8	762	137	645	27	15	61	34	782	152	630	83	13	22	28	6
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	9	1181	184	997	32	24	86	42	1153	210	971	103	18	57	27	5
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511404	Fi¾akovské Kováèe	1	705	104	603	19	15	53	17	707	100	607	57	2	8	25	8
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514721	Gemer	1	689	90	599	27	11	19	33	674	268	421	115	9	13	90	41
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514730	Gemerèek	1	90	17	73	0	1	11	5	89	27	63	8	1	8	7	3
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514756	Gemerská Ves	1	695	78	617	29	7	36	6	677	200	495	120	7	27	36	10
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514764	Gemerské Dechtáre	1	363	129	234	21	6	75	27	359	140	223	61	1	20	12	46
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557889	Gemerské Michalovce	1	79	26	53	5	1	4	16	78	24	55	7	2	9	4	2
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	1	165	44	121	5	6	33	0	165	82	83	36	6	25	15	0
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	2	132	47	85	7	9	27	4	123	58	74	15	6	17	14	6
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514781	Gemerskı Jablonec	1	585	196	389	32	10	123	31	584	153	432	47	5	23	12	66
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	1	107	26	82	5	12	9	0	108	62	46	15	1	4	42	0
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	2	134	43	97	10	9	17	7	140	53	87	12	5	8	28	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516007	Glabušovce	1	94	38	56	2	0	31	5	91	35	59	6	2	2	25	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514799	Gortva	1	393	76	319	50	3	12	11	395	75	320	38	1	1	13	22
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557331	Gregorova Vieska	1	107	26	81	3	5	11	7	99	27	80	5	3	11	8	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514811	Hajnáèka	1	961	232	729	26	8	168	30	951	509	452	154	23	210	37	85
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511421	Haliè	1	1387	369	1018	49	85	152	83	1372	435	952	52	58	113	201	11
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508594	Harmanec	1	750	130	637	17	35	63	15	767	111	656	9	16	65	19	2
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	1	745	138	618	18	49	60	11	756	195	561	26	44	49	72	4
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	2	791	81	710	7	32	32	10	787	155	636	16	39	46	48	6
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	3	760	151	634	20	65	50	16	785	189	596	34	45	38	65	7
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508616	Hiade¾	1	433	92	351	6	22	34	30	443	90	353	12	6	47	22	3
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	1	1236	201	1044	39	47	98	17	1245	312	933	68	67	83	86	8
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	2	1182	269	913	26	58	159	26	1175	289	893	46	51	105	83	4
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	1	342	63	279	15	14	25	9	219	65	277	27	13	20	4	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	2	704	80	624	14	31	30	5	571	115	589	28	30	32	16	9
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	3	845	155	690	17	37	79	22	824	168	677	42	41	56	22	7
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	4	1182	300	900	21	114	120	45	1200	312	888	77	65	96	47	27
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	5	670	180	528	5	55	101	19	708	182	526	34	41	62	35	10
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	6	917	225	772	16	92	84	33	997	241	756	40	74	66	50	11
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	7	1053	183	929	43	54	69	17	1112	202	910	67	31	68	22	14
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514837	Hodejov	1	1053	187	866	89	47	37	14	1037	305	748	129	30	25	34	87
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514845	Hodejovec	1	156	17	144	1	4	8	4	161	32	129	13	5	5	5	4
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	1	561	86	490	8	13	47	18	576	72	504	20	6	22	20	4
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	2	1186	297	889	34	28	183	52	1141	262	924	42	26	129	63	2
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	3	104	37	84	1	10	23	3	121	36	85	9	7	15	4	1
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511439	Holiša	1	480	55	425	11	2	26	16	477	82	398	45	3	13	19	2
Banskobystrickı kraj	606	Zvolen	605	Krupina	518409	Hontianske Moravce	1	714	252	462	32	55	152	13	709	351	363	68	34	180	67	2
Banskobystrickı kraj	606	Zvolen	605	Krupina	518417	Hontianske Nemce	1	1223	204	1019	21	54	101	28	1216	279	944	29	27	124	95	4
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	1	415	78	337	32	7	33	6	399	97	318	38	8	27	20	4
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	2	51	16	41	1	0	15	0	57	32	25	2	0	25	4	1
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	3	145	22	124	2	2	17	1	146	26	120	2	0	17	7	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	4	84	32	58	13	4	12	3	90	31	59	7	3	12	9	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508624	Horná Lehota	1	480	106	374	6	28	60	12	475	78	402	14	7	39	18	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508632	Horná Mièiná	1	473	135	338	22	28	63	22	427	103	370	24	7	43	29	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516015	Horná Strehová	1	132	30	106	9	11	8	2	136	52	84	9	8	18	16	1
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	581747	Horná Ves	1	595	112	483	12	30	44	26	578	94	501	8	14	41	28	3
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516791	Horná daòa	1	435	95	340	16	11	61	7	422	103	332	21	11	45	26	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516805	Horné Hámre	1	492	114	418	15	30	62	7	532	182	350	59	12	49	61	1
Banskobystrickı kraj	606	Zvolen	605	Krupina	518433	Horné Mladonice	1	134	60	81	22	8	30	0	141	38	103	6	2	18	12	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516023	Horné Plachtince	1	172	28	144	8	7	12	1	167	67	105	28	6	25	8	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508641	Horné Pršany	1	321	119	207	25	23	55	16	326	108	218	10	12	53	29	4
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516031	Horné Strháre	1	190	42	154	11	8	20	3	196	63	133	17	5	22	19	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514853	Horné Zahorany	1	112	41	75	5	11	22	3	116	55	61	10	4	12	20	9
Banskobystrickı kraj	606	Zvolen	605	Krupina	518441	Hornı Badín	1	147	82	65	12	20	40	10	145	68	79	7	11	23	25	2
Banskobystrickı kraj	606	Zvolen	604	Detva	518450	Hornı Tisovník	1	177	75	107	10	18	40	7	182	72	110	9	19	37	5	2
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514861	Hostice	1	675	215	460	109	15	45	46	667	268	407	170	6	21	39	32
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514870	Hostišovce	1	158	25	133	5	2	17	1	153	20	138	5	3	6	3	3
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516813	Hrabièov	1	474	93	396	22	22	45	4	489	111	378	22	8	50	28	3
Banskobystrickı kraj	603	Luèenec	607	Poltár	511447	Hradište	1	218	86	140	4	22	57	3	226	109	117	7	5	84	10	3
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	1	656	141	515	12	50	71	8	653	184	472	39	17	93	21	14
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	2	57	22	35	2	9	10	1	51	21	36	5	4	3	6	3
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	1	418	77	344	15	6	56	0	421	100	321	21	10	47	22	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	2	742	210	852	26	37	130	17	1062	267	795	47	34	111	64	11
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	3	201	60	208	9	6	42	3	268	50	218	4	3	24	18	1
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	4	220	82	138	3	11	65	3	201	31	189	5	2	16	6	2
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	5	196	52	1044	3	5	42	2	1096	254	842	59	19	88	84	4
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	6	375	76	845	8	20	41	7	921	242	679	38	17	119	63	5
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	7	512	114	984	16	22	63	13	1098	271	827	24	27	123	92	5
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	8	814	215	937	30	25	127	33	1152	232	920	35	10	94	90	3
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	9	768	232	536	20	25	160	27	226	54	714	5	6	19	23	1
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514896	Hrlica	1	61	22	42	5	5	12	0	64	15	49	4	3	7	1	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	514900	Hrnèiarska Ves	1	655	182	473	42	53	75	12	629	210	445	66	23	60	28	33
Banskobystrickı kraj	603	Luèenec	607	Poltár	514900	Hrnèiarska Ves	2	106	22	87	1	7	14	0	109	44	65	7	10	16	5	6
Banskobystrickı kraj	603	Luèenec	607	Poltár	514918	Hrnèiarske Zaluany	1	720	179	541	26	43	87	23	701	157	563	77	27	24	27	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508659	Hrocho	1	956	133	823	33	42	39	19	941	159	797	44	12	78	23	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508659	Hrocho	2	229	27	202	11	7	5	4	219	47	182	13	7	14	13	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508667	Hronec	1	951	220	755	19	42	136	23	975	186	789	26	15	96	46	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	580236	Hronsek	1	542	134	408	8	35	64	27	536	113	429	14	10	43	45	1
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518476	Hronská Breznica	1	221	66	174	1	8	46	11	240	55	185	1	12	30	12	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516821	Hronská Dúbrava	1	330	75	259	7	5	55	8	334	56	278	6	3	32	15	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516830	Hronskı Beòadik	1	822	116	706	23	13	74	6	820	207	615	64	15	79	40	9
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516830	Hronskı Beòadik	2	185	49	152	5	26	13	5	201	64	137	16	12	20	15	1
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516040	Hrušov	1	698	140	558	14	9	103	14	697	183	515	68	8	60	43	4
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514926	Hrušovo	1	112	23	89	2	4	17	0	106	41	71	21	7	4	5	4
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514926	Hrušovo	2	56	25	39	2	1	19	3	64	29	35	16	3	2	4	4
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514934	Hubovo	1	113	17	99	3	0	11	3	116	25	91	6	0	3	12	4
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525766	Hucín	1	629	81	548	17	10	46	8	603	116	513	72	5	4	35	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514942	Husiná	1	374	37	337	4	1	25	7	369	80	294	36	4	7	16	17
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514951	Chanava	1	542	127	427	22	2	68	35	554	192	362	138	1	6	24	23
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514969	Chrámec	1	303	96	207	19	17	51	9	279	93	210	21	3	5	5	59
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516058	Chrastince	1	199	29	170	11	4	7	7	192	37	162	18	2	3	14	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516066	Chrany	1	122	41	81	9	5	25	2	110	48	74	12	9	14	13	0
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514977	Chvalová	1	130	48	82	12	6	24	6	119	55	75	16	4	24	6	5
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525774	Chyné	1	328	57	278	6	21	26	4	335	83	252	24	6	39	13	1
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516848	Ihráè	1	460	64	396	9	11	39	5	460	96	364	2	5	50	38	1
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516856	Ilija	1	271	70	210	14	19	21	16	280	79	201	7	7	26	39	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516074	Ipe¾ské Predmostie	1	535	97	438	12	5	55	25	524	132	403	71	9	12	37	3
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514985	Ivanice	1	180	72	108	38	12	20	2	175	54	126	37	5	5	2	5
Banskobystrickı kraj	606	Zvolen	605	Krupina	518484	Jalšovík	1	164	68	96	9	11	38	10	160	57	107	2	2	22	31	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514993	Janice	1	138	88	50	29	7	46	6	124	78	60	46	5	9	8	10
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516872	Janova Lehota	1	775	388	387	65	65	236	22	774	420	355	49	28	286	51	6
Banskobystrickı kraj	602	Brezno	603	Brezno	508691	Jarabá	1	35	10	26	3	2	5	0	36	22	14	3	2	16	1	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508705	Jasenie	1	958	168	790	19	36	101	12	918	126	832	18	14	63	30	1
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516881	Jastrabá	1	471	85	390	23	14	35	13	475	67	408	9	7	18	28	5
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525791	Jelšava	1	1128	87	1041	19	41	18	9	1085	198	930	85	40	25	45	3
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525791	Jelšava	2	1150	160	990	25	81	36	18	1136	229	921	75	72	35	45	2
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511463	Jelšovec	1	227	57	175	8	5	43	1	232	39	193	16	4	6	12	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515001	Jesenské	1	872	125	747	44	20	34	27	866	198	674	91	17	14	21	55
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515001	Jesenské	2	914	90	824	12	38	21	19	889	139	775	46	20	11	21	41
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	515019	Jestice	1	139	34	109	7	0	18	9	143	68	75	41	0	4	9	14
Banskobystrickı kraj	603	Luèenec	607	Poltár	511471	Kalinovo	1	948	217	736	20	41	128	28	953	246	707	48	14	128	46	10
