namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	vuc1_09_votersreg	vuc1_09_votersvalid	vuc1_09_nevolici	vuc1_09_other	vuc1_09_kotleba	vuc1_09_manka	vuc1_09_mikus	vuc1_09_simko
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	27	1143	303	840	47	70	115	71	929	213	930	17	11	73	111	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	28	820	174	646	20	53	73	28	518	136	684	11	15	42	67	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	29	631	121	510	15	25	60	21	460	167	464	13	11	52	85	6
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	30	589	158	636	18	45	66	29	794	198	596	23	28	75	71	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	31	494	191	455	24	29	80	58	646	159	487	25	21	48	60	5
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	32	217	77	608	9	10	48	10	685	153	532	15	15	39	83	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	33	805	168	834	14	48	79	27	1002	354	648	42	35	117	157	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	34	791	211	647	25	59	81	46	858	204	654	32	18	68	85	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	35	690	152	696	22	44	62	24	848	187	661	20	14	64	88	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	36	975	276	699	45	80	105	46	866	202	773	16	15	79	89	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	37	861	211	650	39	43	88	41	784	186	675	20	21	55	89	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	38	1150	314	836	27	72	153	62	918	221	929	32	23	85	77	4
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	39	1078	268	810	41	54	109	64	1017	250	828	28	25	107	89	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	40	1151	309	842	46	48	123	92	847	215	936	28	29	78	80	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	41	979	224	755	32	39	109	44	597	155	824	13	6	51	84	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	42	906	223	683	30	49	93	51	632	145	761	16	14	47	68	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	43	977	273	733	35	63	126	49	1006	230	776	29	17	88	90	6
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	44	1058	290	768	31	47	128	84	869	183	875	33	20	56	73	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	45	898	252	646	36	50	116	50	732	164	734	17	13	52	80	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	46	841	231	610	22	34	126	49	690	188	653	26	8	62	90	2
