namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	nr_13_votersreg	nr_13_votersvalid	nr_13_nevolici	nr_13_other	nr_13_kdh	nr_13_sns	nr_13_ol	nr_13_sas	nr_13_smer	nr_13_most	nr_13_sdku	nr_13_smk
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511293	Buzitka	1	432	121	311	9	24	77	11	427	258	174	23	8	13	26	2	137	26	19	4
Banskobystrickı kraj	602	Brezno	603	Brezno	557251	Bystrá	1	176	67	327	11	17	26	13	394	337	57	28	38	13	46	62	75	11	64	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516708	Bzenica	1	487	108	379	10	40	56	2	474	318	169	40	15	11	26	8	210	2	6	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518212	Bzovík	1	828	205	623	49	60	78	18	799	490	338	43	98	45	33	12	245	4	10	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518221	Bzovská Lehôtka	1	109	37	81	2	1	32	2	118	84	34	14	12	6	5	4	39	1	3	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514594	Cakov	1	211	66	145	10	1	52	3	195	74	137	1	1	0	0	0	2	11	5	54
Banskobystrickı kraj	606	Zvolen	605	Krupina	518239	Cerovo	1	468	148	320	37	19	89	3	404	237	231	73	4	16	8	3	129	2	2	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	1	1159	226	933	64	53	93	16	1147	613	546	128	28	17	35	30	351	10	14	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	2	495	93	419	30	8	47	8	512	284	228	43	6	6	6	9	201	0	13	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	3	167	21	148	5	3	12	1	169	105	64	17	4	10	5	5	64	0	0	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518247	Èabradskı Vrbovok	1	203	49	154	7	14	22	6	201	119	84	23	7	12	6	5	63	0	3	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511323	Èakanovce	1	774	188	586	28	17	91	52	761	356	418	15	14	4	5	4	16	85	3	210
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511331	Èamovce	1	413	92	321	24	8	42	18	410	274	139	13	5	1	1	2	12	107	2	131
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515906	Èebovce	1	925	128	797	5	9	70	44	859	437	488	22	10	3	13	13	60	134	6	176
Banskobystrickı kraj	606	Zvolen	605	Krupina	518255	Èekovce	1	345	69	279	16	6	40	7	348	192	156	13	56	17	4	5	88	3	6	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515914	Èeláre	1	326	57	269	6	6	21	24	296	173	153	26	9	1	3	2	44	69	2	17
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515922	Èelovce	1	315	45	273	10	10	24	1	318	119	199	8	5	10	4	3	83	2	3	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514608	Èerenèany	1	463	114	349	5	23	76	10	444	300	163	41	9	15	18	9	167	26	13	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	1	258	79	179	12	19	32	16	254	167	91	29	12	11	9	10	81	8	7	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	2	129	42	87	4	10	25	3	124	92	37	13	4	5	2	4	57	1	6	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515931	Èerveòany	1	20	9	25	0	2	7	0	34	20	14	2	1	1	2	1	11	0	2	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	1	359	97	262	15	33	42	7	359	216	143	25	7	12	18	10	140	2	1	1
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	2	56	10	54	2	3	4	1	64	46	18	4	1	4	1	0	36	0	0	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	1	853	182	671	21	62	76	23	841	401	452	78	42	10	33	12	197	7	22	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	2	1191	218	973	14	82	106	16	1185	730	461	121	34	35	60	12	437	5	26	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	3	1196	281	915	33	109	112	27	1194	658	538	139	27	25	92	21	321	13	20	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	4	895	181	714	12	95	59	15	894	553	342	86	40	38	52	21	304	2	10	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514616	Èierny Potok	1	132	40	92	4	14	21	1	115	76	56	13	0	5	1	3	51	0	2	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514624	Èí	1	524	114	410	12	11	76	15	516	242	282	17	3	4	4	7	54	67	7	79
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515949	Daèov Lom	1	340	53	287	7	8	33	5	338	190	150	26	3	10	8	3	134	0	6	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516716	Dekıš	1	176	67	115	14	9	28	16	182	132	50	10	25	5	6	1	76	0	9	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	1	480	96	384	7	19	58	12	468	283	197	33	37	15	22	2	167	1	6	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	2	466	126	343	4	33	80	9	469	261	208	18	19	21	19	8	169	2	5	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	3	612	173	441	9	34	129	1	614	385	229	26	16	12	18	11	288	1	13	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	4	389	92	297	12	20	56	4	386	215	174	15	17	14	12	12	139	1	5	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	5	1172	384	788	68	81	212	23	1171	739	433	81	73	24	80	39	411	3	28	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	6	1238	440	798	32	82	296	30	1230	855	383	59	88	31	81	32	532	7	25	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	7	877	254	623	23	88	113	30	862	532	345	71	35	22	96	43	229	4	32	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	8	1018	337	681	28	60	204	45	989	636	382	69	57	23	56	58	324	13	36	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	9	657	197	461	37	42	108	10	658	363	295	40	17	11	31	27	229	1	7	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	10	1030	273	757	14	63	170	26	1003	547	483	47	22	19	54	29	332	18	26	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	11	1272	419	853	96	63	217	43	1244	617	655	76	49	24	47	28	352	7	33	1
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	12	1087	317	770	22	61	197	37	1058	645	442	77	24	11	60	42	393	6	32	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	13	495	182	337	13	32	119	18	519	348	171	39	22	15	35	11	199	6	21	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	14	1232	333	899	24	76	210	23	1169	647	585	69	26	32	45	33	392	10	40	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518263	Detva	15	220	57	163	7	12	30	8	215	135	85	16	14	10	7	9	61	1	17	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	1	384	85	299	12	15	57	1	56	39	345	3	3	7	2	0	23	0	1	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	2	88	18	312	1	3	14	0	330	227	103	9	38	18	5	12	140	1	4	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518271	Detvianska Huta	3	120	32	88	5	7	15	5	100	71	49	1	11	4	1	0	50	0	4	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518280	Devièie	1	250	101	149	17	23	49	12	242	154	96	21	0	11	10	4	94	8	6	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	1	789	196	620	21	45	106	24	816	514	302	75	25	32	27	27	310	3	15	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511358	Divín	2	881	160	721	37	29	85	9	867	445	436	34	35	27	41	18	269	4	17	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518298	Dobrá Niva	1	1554	372	1182	21	49	236	66	723	458	1096	57	14	17	49	28	236	2	55	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	1	502	107	395	9	27	59	12	498	314	188	49	5	18	27	6	204	1	4	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511366	Dobroè	2	42	8	41	0	4	4	0	49	33	16	7	1	0	2	0	23	0	0	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515957	Dolinka	1	412	77	335	19	2	33	23	402	265	147	4	2	1	0	0	7	122	0	129
Banskobystrickı kraj	602	Brezno	603	Brezno	508535	Dolná Lehota	1	609	97	547	23	13	53	8	644	379	265	31	40	20	26	11	222	7	20	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508543	Dolná Mièiná	1	311	77	234	16	16	35	10	310	208	103	24	15	11	14	16	111	1	16	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515965	Dolná Strehová	1	871	105	766	24	20	34	27	864	516	355	54	51	33	33	14	283	14	34	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516724	Dolná Trnávka	1	295	115	180	24	38	48	5	294	230	65	53	42	8	27	5	79	1	15	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516732	Dolná Ves	1	203	41	166	1	6	30	4	207	138	69	18	4	17	13	8	74	1	3	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516741	Dolná daòa	1	673	130	543	20	36	66	8	608	368	305	57	25	12	55	4	200	2	13	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518301	Dolné Mladonice	1	105	40	73	13	6	19	2	113	79	34	13	9	4	8	0	44	0	1	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515973	Dolné Plachtince	1	491	72	419	18	17	33	4	476	296	195	34	25	30	10	5	178	5	9	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515981	Dolné Strháre	1	173	43	130	6	4	22	11	163	84	89	9	0	9	6	2	51	1	6	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514632	Dolné Zahorany	1	157	37	131	5	4	21	7	168	127	41	2	4	0	1	3	6	44	1	66
Banskobystrickı kraj	606	Zvolen	605	Krupina	518310	Dolnı Badín	1	213	99	114	15	30	48	6	204	154	59	16	16	20	13	5	74	1	9	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508551	Dolnı Harmanec	1	192	48	144	8	14	19	7	188	121	71	15	8	6	4	4	74	1	9	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518336	Domaníky	1	163	39	124	12	3	23	1	153	90	73	14	6	7	12	2	45	0	4	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508560	Donovaly	1	175	56	418	7	22	19	8	474	414	60	38	40	11	62	68	109	20	62	4
Banskobystrickı kraj	602	Brezno	603	Brezno	508578	Drábsko	1	160	40	123	2	9	28	1	163	102	61	12	11	9	1	6	57	1	5	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514641	Draice	1	181	25	156	5	4	10	6	177	82	99	22	3	1	1	1	8	19	0	27
Banskobystrickı kraj	606	Zvolen	605	Krupina	518344	Dráovce	1	101	32	77	9	4	16	3	109	67	42	12	0	13	8	2	30	1	0	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514659	Drienèany	1	161	54	117	7	17	30	0	171	108	63	13	3	9	3	2	67	5	6	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518352	Drienovo	1	87	32	55	10	9	8	5	84	57	30	15	5	4	2	4	27	0	0	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514667	Dròa	1	137	44	93	10	8	12	14	137	68	69	2	2	2	0	0	5	43	0	14
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514675	Drkovce	1	403	172	231	40	23	81	28	390	220	183	13	3	0	0	1	39	62	4	98
Banskobystrickı kraj	603	Luèenec	607	Poltár	557323	Ïubákovo	1	79	23	68	0	10	11	2	91	62	29	10	5	2	2	2	38	0	3	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514683	Dubno	1	120	57	69	7	8	33	9	126	82	44	5	0	1	2	3	5	22	0	44
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518361	Dubové	1	216	62	154	4	4	52	2	215	136	80	24	2	7	8	4	83	0	8	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514691	Dubovec	1	391	98	293	28	16	42	12	381	190	201	17	3	2	0	4	7	89	2	66
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508586	Dúbravica	1	303	100	203	15	26	44	15	301	185	118	24	10	10	11	2	121	1	6	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	1	537	183	357	20	34	126	3	540	344	196	33	28	9	30	15	212	4	13	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	2	167	58	109	3	8	45	2	165	108	59	25	1	4	4	1	67	2	4	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518379	Dúbravy	3	98	53	49	5	14	29	5	102	64	38	6	4	5	7	3	37	0	2	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518387	Dudince	1	1245	261	1139	24	44	156	37	1400	945	455	109	74	64	81	56	467	39	46	9
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557919	Dulovo	1	120	20	104	10	3	6	1	124	52	72	8	4	1	0	0	2	16	2	19
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515990	Ïurkovce	1	113	26	87	8	0	16	2	112	61	52	4	2	2	0	0	11	22	2	18
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514713	Figa	1	316	99	217	61	13	17	8	311	120	196	17	3	1	0	1	45	33	1	19
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	1	961	175	786	18	39	82	36	955	488	473	23	6	10	21	11	100	187	5	125
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	2	882	136	746	41	11	60	24	879	319	563	31	10	3	14	8	49	132	7	65
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	3	924	158	766	23	11	93	31	882	348	576	26	4	5	15	2	60	140	9	87
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	4	918	197	721	26	22	92	57	906	423	495	30	8	6	18	3	79	159	8	112
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	5	1013	218	797	27	29	100	62	1015	533	482	27	6	12	17	17	71	214	18	151
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	6	621	85	536	14	8	48	15	612	252	369	11	4	7	15	2	32	79	6	96
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	7	946	97	849	14	15	51	17	897	312	634	24	6	3	14	2	55	126	10	72
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	8	762	137	625	27	15	61	34	756	288	474	19	2	8	15	8	67	92	9	68
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511391	Fi¾akovo	9	1181	184	997	32	24	86	42	1127	420	761	39	9	7	19	6	70	159	8	103
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511404	Fi¾akovské Kováèe	1	705	104	606	19	15	53	17	710	338	372	17	9	5	12	2	87	134	14	58
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514721	Gemer	1	689	90	599	27	11	19	33	683	349	340	16	1	3	6	3	23	172	2	123
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514730	Gemerèek	1	90	17	73	0	1	11	5	90	37	53	2	1	0	0	1	9	16	0	8
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514756	Gemerská Ves	1	695	78	618	29	7	36	6	696	322	374	60	5	3	6	7	40	75	3	123
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514764	Gemerské Dechtáre	1	363	129	234	21	6	75	27	363	227	136	7	3	0	0	2	6	67	0	142
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557889	Gemerské Michalovce	1	79	26	54	5	1	4	16	80	46	34	3	1	2	0	1	3	20	0	16
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	1	165	44	121	5	6	33	0	163	100	65	14	0	6	1	4	72	3	0	0
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525677	Gemerské Teplice	2	132	47	85	7	9	27	4	128	73	59	16	3	2	1	5	40	3	2	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514781	Gemerskı Jablonec	1	585	196	389	32	10	123	31	578	337	248	5	4	0	11	5	18	105	0	189
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	1	107	26	81	5	12	9	0	102	70	37	9	2	1	4	4	24	13	2	11
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	525685	Gemerskı Sad	2	134	43	101	10	9	17	7	144	93	51	17	0	2	5	1	12	28	1	27
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516007	Glabušovce	1	94	38	58	2	0	31	5	96	67	29	3	2	0	0	0	5	18	10	29
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514799	Gortva	1	393	76	317	50	3	12	11	388	105	288	21	4	1	0	1	14	45	1	18
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557331	Gregorova Vieska	1	107	26	84	3	5	11	7	110	62	48	13	3	2	4	3	30	4	3	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514811	Hajnáèka	1	961	232	734	26	8	168	30	966	695	271	20	8	1	1	3	29	413	2	218
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511421	Haliè	1	1387	369	1018	49	85	152	83	1327	717	670	99	60	24	76	41	324	21	71	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508594	Harmanec	1	750	130	631	17	35	63	15	761	395	366	61	7	11	32	11	250	6	17	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	1	745	138	624	18	49	60	11	762	503	259	72	54	22	37	7	300	2	9	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	2	791	81	710	7	32	32	10	784	457	334	65	48	20	17	7	292	0	8	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508608	He¾pa	3	760	151	623	20	65	50	16	774	531	243	67	58	23	28	13	324	4	14	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508616	Hiade¾	1	433	92	344	6	22	34	30	436	255	181	28	15	14	12	5	171	1	9	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	1	1236	201	1035	39	47	98	17	1217	791	445	98	64	51	88	30	412	10	38	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516767	Hliník nad Hronom	2	1182	269	913	26	58	159	26	1169	770	412	109	66	40	72	45	387	14	37	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	1	342	63	279	15	14	25	9	224	98	244	25	1	5	0	11	53	0	3	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	2	704	80	624	14	31	30	5	645	216	488	29	9	13	9	4	142	2	8	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	3	845	155	690	17	37	79	22	812	374	471	54	16	13	18	8	239	6	19	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	4	1182	300	882	21	114	120	45	1147	634	548	107	10	42	37	33	353	8	43	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	5	670	180	490	5	55	101	19	643	343	327	50	10	16	17	9	218	9	14	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	6	917	225	692	16	92	84	33	903	496	421	85	7	26	26	23	291	9	28	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514829	Hnúša	7	1053	183	870	43	54	69	17	1051	419	634	82	9	18	12	15	264	7	11	1
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514837	Hodejov	1	1053	187	867	89	47	37	14	1054	410	644	36	19	11	8	3	119	125	8	81
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514845	Hodejovec	1	156	17	140	1	4	8	4	157	82	75	12	1	0	0	0	36	13	1	19
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	1	561	86	486	8	13	47	18	572	292	280	41	16	20	11	7	181	1	15	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	2	1186	297	889	34	28	183	52	1150	691	495	84	35	41	22	20	439	8	42	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516759	Hodruša - Hámre	3	104	37	95	1	10	23	3	132	95	37	12	1	8	5	4	60	2	3	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511439	Holiša	1	480	55	425	11	2	26	16	475	200	280	10	1	2	2	1	54	78	1	51
Banskobystrickı kraj	606	Zvolen	605	Krupina	518409	Hontianske Moravce	1	714	252	462	32	55	152	13	685	383	331	70	24	23	32	16	200	6	12	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518417	Hontianske Nemce	1	1223	204	1019	21	54	101	28	1204	718	505	68	105	57	56	34	375	6	17	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	1	415	78	337	32	7	33	6	379	202	213	51	11	17	12	4	99	1	7	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	2	51	16	42	1	0	15	0	58	42	16	4	2	4	3	0	28	0	1	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	3	145	22	129	2	2	17	1	151	71	80	5	2	3	2	4	50	0	5	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518425	Hontianske Tesáre	4	84	32	63	13	4	12	3	95	64	31	9	7	2	16	0	29	0	1	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508624	Horná Lehota	1	480	106	396	6	28	60	12	502	297	205	43	20	22	16	15	165	5	11	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508632	Horná Mièiná	1	473	135	338	22	28	63	22	440	292	181	39	12	5	30	21	159	6	20	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516015	Horná Strehová	1	132	30	110	9	11	8	2	140	61	79	10	2	5	7	0	29	2	6	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	581747	Horná Ves	1	595	112	483	12	30	44	26	579	352	243	61	26	20	44	32	149	4	15	1
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516791	Horná daòa	1	435	95	340	16	11	61	7	428	280	155	25	36	8	35	11	158	1	6	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516805	Horné Hámre	1	492	114	385	15	30	62	7	499	344	155	34	57	24	20	25	173	3	8	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518433	Horné Mladonice	1	134	60	79	22	8	30	0	139	89	50	14	6	6	3	0	59	0	1	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516023	Horné Plachtince	1	172	28	146	8	7	12	1	174	100	74	17	1	9	3	0	66	1	3	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508641	Horné Pršany	1	321	119	202	25	23	55	16	321	224	97	34	4	11	21	11	116	12	15	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	516031	Horné Strháre	1	190	42	159	11	8	20	3	201	104	97	14	7	17	5	3	46	3	9	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514853	Horné Zahorany	1	112	41	82	5	11	22	3	123	86	37	8	2	8	6	3	47	4	7	1
Banskobystrickı kraj	606	Zvolen	605	Krupina	518441	Hornı Badín	1	147	82	67	12	20	40	10	149	104	45	15	18	5	4	6	55	0	1	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518450	Hornı Tisovník	1	177	75	117	10	18	40	7	192	126	66	11	4	13	19	2	77	0	0	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514861	Hostice	1	675	215	460	109	15	45	46	668	277	398	8	17	0	5	5	21	72	1	148
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514870	Hostišovce	1	158	25	133	5	2	17	1	152	60	98	8	0	4	0	0	47	1	0	0
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	516813	Hrabièov	1	474	93	382	22	22	45	4	475	300	175	32	29	25	17	3	193	0	1	0
Banskobystrickı kraj	603	Luèenec	607	Poltár	511447	Hradište	1	218	86	137	4	22	57	3	223	156	67	13	1	9	7	3	121	1	1	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	1	656	141	515	12	50	71	8	643	397	259	36	15	23	21	7	284	5	6	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514888	Hrachovo	2	57	22	35	2	9	10	1	54	39	18	2	4	5	6	1	20	0	1	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	1	418	77	349	15	6	56	0	426	262	164	25	20	4	10	3	198	0	2	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	2	742	210	534	26	37	130	17	744	462	282	40	28	31	17	14	319	0	13	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	3	201	60	154	9	6	42	3	214	134	80	11	22	6	2	0	88	0	5	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	4	220	82	144	3	11	65	3	226	147	79	10	21	17	1	2	96	0	0	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	5	196	52	174	3	5	42	2	226	130	96	8	12	8	2	3	92	1	4	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	6	375	76	312	8	20	41	7	388	217	171	17	16	14	9	1	158	0	2	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	7	512	114	399	16	22	63	13	513	315	198	24	17	31	21	4	209	2	7	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	8	814	215	599	30	25	127	33	812	511	303	41	66	32	23	11	312	3	23	0
Banskobystrickı kraj	606	Zvolen	604	Detva	518468	Hriòová	9	768	232	594	20	25	160	27	826	539	287	41	22	31	54	13	331	2	45	0
Banskobystrickı kraj	604	Rimavská Sobota	608	Revúca	514896	Hrlica	1	61	22	42	5	5	12	0	64	29	35	8	0	1	0	2	18	0	0	0
