namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	pr1_14_votersreg	pr1_14_votersvalid	pr1_14_nevolici	pr1_14_other	pr1_14_bardos	pr1_14_fico	pr1_14_kiska	pr1_14_knazko	pr1_14_prochazka
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	1	914	195	799	14	19	66	96	994	399	595	45	3	79	83	67	122
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	2	698	213	485	30	15	107	61	692	307	391	21	1	114	70	41	60
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	3	1045	249	796	49	36	104	60	1032	344	701	46	0	132	49	37	80
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	4	817	251	566	23	28	143	57	787	367	450	36	0	139	64	46	82
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	5	677	183	494	13	24	101	45	667	254	423	29	0	92	57	34	42
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	6	1000	232	768	37	30	115	50	976	346	654	25	1	105	89	51	75
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	7	835	220	615	24	27	109	60	823	334	501	29	0	86	73	46	100
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	8	942	221	721	28	42	111	40	936	365	577	33	0	96	86	47	103
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	9	762	175	603	22	32	72	49	778	281	497	30	1	87	73	44	46
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	10	621	146	475	19	27	54	46	619	250	371	29	0	77	49	27	68
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516651	Banskı Studenec	1	358	69	298	8	23	18	20	367	115	252	2	0	48	29	10	26
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514501	Barca	1	313	94	221	42	1	48	3	315	31	284	15	13	3	0	0	0
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516660	Bartošova Lehôtka	1	328	98	234	24	13	50	11	332	165	167	18	1	47	37	22	40
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514519	Bátka	1	734	156	578	48	22	52	34	725	261	473	25	166	19	39	5	7
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515876	Bátorová	1	305	39	266	5	2	25	7	301	109	196	5	10	48	24	12	10
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514535	Belín	1	142	53	93	17	10	23	3	146	52	94	11	3	23	10	2	3
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511234	Belina	1	501	122	379	29	6	66	21	498	157	344	4	126	8	12	4	3
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516678	Beluj	1	106	33	74	4	8	17	4	107	40	67	14	0	8	6	4	8
Banskobystrickı kraj	602	Brezno	603	Brezno	508462	Beòuš	1	983	226	779	21	69	112	24	1005	421	584	28	0	94	137	49	113
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557315	Biskupice	1	917	196	721	31	19	108	38	904	231	686	16	124	25	46	10	10
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514543	Blhovce	1	619	140	480	57	7	44	32	620	173	447	22	108	5	24	4	10
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	1	225	27	198	6	1	15	5	222	83	142	10	19	18	24	5	7
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	2	311	64	247	10	8	44	2	309	126	185	10	0	81	16	7	12
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514551	Bottovo	1	168	53	116	6	10	32	5	169	93	76	24	0	51	9	1	8
Banskobystrickı kraj	602	Brezno	603	Brezno	508489	Braväcovo	1	569	168	401	17	44	84	23	565	214	355	17	0	82	53	21	41
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	581607	Brehy	1	895	186	709	22	22	110	32	885	363	532	39	1	154	75	27	67
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518191	Breziny	1	287	83	204	6	13	64	0	287	95	192	13	1	49	7	15	10
Banskobystrickı kraj	603	Luèenec	607	Poltár	511269	Breznièka	1	637	148	489	17	36	86	9	637	274	363	23	0	109	58	29	55
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	1	905	228	677	26	72	85	45	875	346	559	27	0	104	86	51	78
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	2	1073	122	951	15	42	42	23	1044	227	846	27	0	77	58	22	43
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	3	883	260	623	24	79	99	58	842	377	506	31	0	121	91	56	78
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	4	961	284	677	28	95	89	72	947	433	528	45	0	106	111	84	87
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	5	853	249	604	29	59	121	40	831	367	486	31	1	142	91	37	65
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	6	645	169	476	12	62	60	35	628	276	369	15	1	98	64	43	55
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	7	905	226	687	18	64	116	28	913	392	521	29	0	157	102	37	67
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	8	866	220	646	19	68	80	53	832	370	496	31	0	126	105	49	59
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	9	928	235	693	44	78	92	21	897	379	549	25	0	131	97	39	87
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	10	734	233	501	39	46	111	37	718	400	334	45	0	137	103	40	75
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	11	612	166	446	18	49	74	25	587	261	351	15	0	70	75	40	61
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	12	728	152	576	17	50	59	26	715	282	446	20	0	79	77	38	68
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	13	745	219	526	24	52	99	44	742	327	418	24	1	119	80	39	64
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	14	854	225	629	51	74	78	22	853	283	571	20	0	92	73	26	72
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	15	1041	234	807	21	105	74	34	1035	408	633	25	0	90	139	39	115
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	16	1039	252	787	25	124	69	34	1028	403	636	36	0	57	125	55	130
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	17	1020	259	761	26	129	71	33	1000	381	639	34	0	60	106	64	117
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	18	1012	221	791	29	118	49	25	986	344	668	30	0	60	99	54	101
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	19	645	85	560	11	30	25	19	631	238	407	18	0	64	74	37	45
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	20	845	160	685	34	61	40	25	842	161	684	12	1	59	46	17	26
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	21	221	69	153	14	16	26	13	222	82	140	17	0	13	22	6	24
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515884	Brusník	1	87	16	78	1	2	12	1	94	35	59	7	0	18	6	1	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	1	817	142	712	23	44	51	24	854	407	447	40	5	133	73	64	92
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	2	948	173	811	33	48	72	20	984	441	543	58	1	161	73	44	104
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518204	Budèa	1	1052	242	810	44	27	136	35	1032	461	591	50	0	123	112	67	109
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514586	Budikovany	1	41	11	34	0	1	10	0	45	28	17	10	1	11	2	1	3
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511277	Budiná	1	215	93	124	13	20	59	1	217	111	106	12	2	56	15	9	17
Banskobystrickı kraj	603	Luèenec	606	Luèenec	558273	Bulhary	1	227	92	135	7	5	71	9	227	120	107	60	49	1	6	4	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515892	Bušince	1	1154	180	974	23	32	85	40	1113	299	855	24	49	79	71	40	36
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511293	Buzitka	1	432	121	311	9	24	77	11	428	195	237	13	6	84	49	25	18
Banskobystrickı kraj	602	Brezno	603	Brezno	557251	Bystrá	1	176	67	348	11	17	26	13	415	333	82	20	4	36	102	77	94
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516708	Bzenica	1	487	108	379	10	40	56	2	479	209	278	19	0	88	32	19	51
Banskobystrickı kraj	606	Zvolen	605	Krupina	518212	Bzovík	1	828	205	623	49	60	78	18	820	350	478	55	0	97	69	21	108
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518221	Bzovská Lehôtka	1	109	37	78	2	1	32	2	115	56	59	13	0	28	6	3	6
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514594	Cakov	1	211	66	145	10	1	52	3	207	36	175	15	12	4	5	0	0
Banskobystrickı kraj	606	Zvolen	605	Krupina	518239	Cerovo	1	468	148	320	37	19	89	3	445	187	281	22	0	110	28	5	22
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	1	1159	226	933	64	53	93	16	1144	402	757	58	0	147	110	25	62
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	2	495	93	402	30	8	47	8	489	153	342	13	0	84	20	12	24
Banskobystrickı kraj	603	Luèenec	607	Poltár	511315	Cinobaòa	3	167	21	150	5	3	12	1	171	75	96	4	0	38	14	8	11
Banskobystrickı kraj	606	Zvolen	605	Krupina	518247	Èabradskı Vrbovok	1	203	49	157	7	14	22	6	206	80	126	10	0	24	32	6	8
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511323	Èakanovce	1	774	188	586	28	17	91	52	767	284	490	6	227	16	25	3	7
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511331	Èamovce	1	413	92	324	24	8	42	18	416	166	250	9	104	14	27	4	8
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515906	Èebovce	1	925	128	797	5	9	70	44	857	297	628	10	144	27	71	13	32
Banskobystrickı kraj	606	Zvolen	605	Krupina	518255	Èekovce	1	345	69	282	16	6	40	7	351	127	224	30	1	49	25	8	14
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515914	Èeláre	1	326	57	269	6	6	21	24	324	113	213	17	36	23	23	6	8
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515922	Èelovce	1	315	45	273	10	10	24	1	318	119	199	14	0	73	9	16	7
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514608	Èerenèany	1	463	114	349	5	23	76	10	451	217	246	28	1	70	35	34	49
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	1	258	79	183	12	19	32	16	262	146	116	5	0	56	32	21	32
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508519	Èerín	2	129	42	87	4	10	25	3	129	82	47	7	0	44	17	5	9
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515931	Èerveòany	1	20	9	17	0	2	7	0	26	18	8	0	0	10	4	1	3
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	1	359	97	266	15	33	42	7	363	158	205	23	2	68	31	9	25
Banskobystrickı kraj	603	Luèenec	607	Poltár	511340	Èeské Brezovo	2	56	10	49	2	3	4	1	59	30	29	3	0	18	4	2	3
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	1	853	182	671	21	62	76	23	843	288	565	37	0	77	79	40	55
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	2	1191	218	973	14	82	106	16	1182	412	779	42	0	169	98	24	79
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	3	1196	281	915	33	109	112	27	1191	455	741	35	0	119	113	30	158
Banskobystrickı kraj	602	Brezno	603	Brezno	508527	Èierny Balog	4	895	181	720	12	95	59	15	901	386	515	39	0	124	88	23	112
